threshold_file,label,threshold
results/internal/fair_concat/fair_concat_thresholds.json,CD,0.35
results/internal/fair_concat/fair_concat_thresholds.json,HYP,0.45
results/internal/fair_concat/fair_concat_thresholds.json,MI,0.18
results/internal/fair_concat/fair_concat_thresholds.json,NORM,0.48
results/internal/fair_concat/fair_concat_thresholds.json,STTC,0.45
results/internal/fair_concat_repeated/seed_2027/fair_concat_thresholds.json,CD,0.52
results/internal/fair_concat_repeated/seed_2027/fair_concat_thresholds.json,HYP,0.3
results/internal/fair_concat_repeated/seed_2027/fair_concat_thresholds.json,MI,0.32
results/internal/fair_concat_repeated/seed_2027/fair_concat_thresholds.json,NORM,0.52
results/internal/fair_concat_repeated/seed_2027/fair_concat_thresholds.json,STTC,0.3
results/internal/fair_concat_repeated/seed_2028/fair_concat_thresholds.json,CD,0.36
results/internal/fair_concat_repeated/seed_2028/fair_concat_thresholds.json,HYP,0.34
results/internal/fair_concat_repeated/seed_2028/fair_concat_thresholds.json,MI,0.39
results/internal/fair_concat_repeated/seed_2028/fair_concat_thresholds.json,NORM,0.32
results/internal/fair_concat_repeated/seed_2028/fair_concat_thresholds.json,STTC,0.31
results/internal/fair_concat_repeated/seed_2026/fair_concat_thresholds.json,CD,0.35
results/internal/fair_concat_repeated/seed_2026/fair_concat_thresholds.json,HYP,0.45
results/internal/fair_concat_repeated/seed_2026/fair_concat_thresholds.json,MI,0.18
results/internal/fair_concat_repeated/seed_2026/fair_concat_thresholds.json,NORM,0.48
results/internal/fair_concat_repeated/seed_2026/fair_concat_thresholds.json,STTC,0.45
results/internal/ablation_structured/structured_mlp_thresholds.json,CD,0.39
results/internal/ablation_structured/structured_mlp_thresholds.json,HYP,0.26
results/internal/ablation_structured/structured_mlp_thresholds.json,MI,0.35
results/internal/ablation_structured/structured_mlp_thresholds.json,NORM,0.47
results/internal/ablation_structured/structured_mlp_thresholds.json,STTC,0.35
results/internal/signal_strong/val_tuned_thresholds.json,CD,0.51
results/internal/signal_strong/val_tuned_thresholds.json,HYP,0.34
results/internal/signal_strong/val_tuned_thresholds.json,MI,0.3
results/internal/signal_strong/val_tuned_thresholds.json,NORM,0.42
results/internal/signal_strong/val_tuned_thresholds.json,STTC,0.38
results/internal/gated_fusion/gated_fusion_thresholds.json,CD,0.43
results/internal/gated_fusion/gated_fusion_thresholds.json,HYP,0.41
results/internal/gated_fusion/gated_fusion_thresholds.json,MI,0.38
results/internal/gated_fusion/gated_fusion_thresholds.json,NORM,0.47
results/internal/gated_fusion/gated_fusion_thresholds.json,STTC,0.37
results/internal/gated_fusion_repeated/seed_2027/gated_fusion_thresholds.json,CD,0.43
results/internal/gated_fusion_repeated/seed_2027/gated_fusion_thresholds.json,HYP,0.28
results/internal/gated_fusion_repeated/seed_2027/gated_fusion_thresholds.json,MI,0.24
results/internal/gated_fusion_repeated/seed_2027/gated_fusion_thresholds.json,NORM,0.52
results/internal/gated_fusion_repeated/seed_2027/gated_fusion_thresholds.json,STTC,0.3
results/internal/gated_fusion_repeated/seed_2028/gated_fusion_thresholds.json,CD,0.5
results/internal/gated_fusion_repeated/seed_2028/gated_fusion_thresholds.json,HYP,0.23
results/internal/gated_fusion_repeated/seed_2028/gated_fusion_thresholds.json,MI,0.37
results/internal/gated_fusion_repeated/seed_2028/gated_fusion_thresholds.json,NORM,0.52
results/internal/gated_fusion_repeated/seed_2028/gated_fusion_thresholds.json,STTC,0.33
results/internal/gated_fusion_repeated/seed_2026/gated_fusion_thresholds.json,CD,0.43
