model_name,split,calibration_mode,metric,estimate,ci_lower,ci_upper,n_bootstrap,seed,probability_mode,uncertainty_score,coverage
fair_concat_mlp,test,,retained_macro_f1,0.7574694389668032,0.7387948341469192,0.7752183553067197,1000,2026,temperature_scaled,entropy_macro,0.8
fair_concat_mlp,test,,retained_brier,0.0697754735248675,0.0651064109623642,0.0742490765253051,1000,2026,temperature_scaled,entropy_macro,0.8
fair_concat_mlp,test,,retained_ece,0.0224978123805321,0.0227010713146695,0.0324396340830915,1000,2026,temperature_scaled,entropy_macro,0.8
fair_concat_mlp,test,,retained_macro_auroc,0.9360675725221944,0.9261638084918088,0.945301060055552,1000,2026,temperature_scaled,entropy_macro,0.7
fair_concat_mlp,test,,retained_macro_f1,0.7633344907113542,0.7426039803596104,0.7816754033799639,1000,2026,temperature_scaled,entropy_macro,0.7
fair_concat_mlp,test,,retained_brier,0.0633752089644917,0.0582072991509143,0.0685619635953752,1000,2026,temperature_scaled,entropy_macro,0.7
fair_concat_mlp,test,,retained_ece,0.021340440645114,0.0216052039939349,0.0313074440208642,1000,2026,temperature_scaled,entropy_macro,0.7
gated_fusion_mlp,test,,retained_macro_auroc,0.9195696937646384,0.9121777244635364,0.9268269127410632,1000,2026,temperature_scaled,entropy_macro,1.0
gated_fusion_mlp,test,,retained_macro_f1,0.7313783251237391,0.7140075376206007,0.746634689401249,1000,2026,temperature_scaled,entropy_macro,1.0
gated_fusion_mlp,test,,retained_brier,0.0844206014376443,0.0800325233352504,0.0886056371154538,1000,2026,temperature_scaled,entropy_macro,1.0
gated_fusion_mlp,test,,retained_ece,0.0192763995788092,0.0206383432415896,0.0289374066116903,1000,2026,temperature_scaled,entropy_macro,1.0
gated_fusion_mlp,test,,retained_macro_auroc,0.9257936777470328,0.9174451150767384,0.9332904081121832,1000,2026,temperature_scaled,entropy_macro,0.9
gated_fusion_mlp,test,,retained_macro_f1,0.7504490796590744,0.7321020520294198,0.7669204873709528,1000,2026,temperature_scaled,entropy_macro,0.9
gated_fusion_mlp,test,,retained_brier,0.0757829678993318,0.0711880551287069,0.0805965236027528,1000,2026,temperature_scaled,entropy_macro,0.9
gated_fusion_mlp,test,,retained_ece,0.0165406026840781,0.0187580439923387,0.0268344939825358,1000,2026,temperature_scaled,entropy_macro,0.9
gated_fusion_mlp,test,,retained_macro_auroc,0.9302500731581232,0.9217882925613786,0.9389489966477604,1000,2026,temperature_scaled,entropy_macro,0.8
gated_fusion_mlp,test,,retained_macro_f1,0.7596679384162239,0.7394211536239498,0.7774711359191738,1000,2026,temperature_scaled,entropy_macro,0.8
gated_fusion_mlp,test,,retained_brier,0.0686779283619622,0.063952002081049,0.0735675091760315,1000,2026,temperature_scaled,entropy_macro,0.8
gated_fusion_mlp,test,,retained_ece,0.0160639460734565,0.0176654788700075,0.0263062659374998,1000,2026,temperature_scaled,entropy_macro,0.8
gated_fusion_mlp,test,,retained_macro_auroc,0.9357660282372852,0.9262154821835769,0.9450706197319888,1000,2026,temperature_scaled,entropy_macro,0.7
gated_fusion_mlp,test,,retained_macro_f1,0.774960845133146,0.7527665031036312,0.795305380493817,1000,2026,temperature_scaled,entropy_macro,0.7
gated_fusion_mlp,test,,retained_brier,0.0600095876600621,0.0551289867256321,0.0646867205168581,1000,2026,temperature_scaled,entropy_macro,0.7
gated_fusion_mlp,test,,retained_ece,0.0160253889117379,0.0177718473466112,0.0261974161278614,1000,2026,temperature_scaled,entropy_macro,0.7
