model_name,label,feature,attribution_mean_abs,attribution_signed_mean,rank,method
structured_mlp,NORM,R_Amp_II,0.2357494831085205,-0.0032974283676594496,1,gradient_x_input
structured_mlp,NORM,T_Amp_aVR,0.20087768137454987,-0.06395246833562851,2,gradient_x_input
structured_mlp,NORM,R_Amp_III,0.1908756047487259,0.021157125011086464,3,gradient_x_input
structured_mlp,NORM,R_Amp_aVL,0.17447884380817413,0.036311980336904526,4,gradient_x_input
structured_mlp,NORM,PQ_Int_V1,0.1666364222764969,-0.07158353179693222,5,gradient_x_input
structured_mlp,NORM,R_Amp_V5,0.15835823118686676,-0.1386720985174179,6,gradient_x_input
structured_mlp,NORM,R_Amp_aVF,0.1545325517654419,0.004148548934608698,7,gradient_x_input
structured_mlp,NORM,T_DurFull_V2,0.15100142359733582,0.021669914945960045,8,gradient_x_input
structured_mlp,NORM,PQ_Int_III,0.14736686646938324,-0.05116032063961029,9,gradient_x_input
structured_mlp,NORM,PQ_Int_II,0.13938884437084198,0.09839320927858353,10,gradient_x_input
structured_mlp,NORM,PR_Int_V1,0.1385643631219864,0.06874252110719681,11,gradient_x_input
structured_mlp,NORM,Q_Amp_V2,0.13483288884162903,-0.06858404725790024,12,gradient_x_input
structured_mlp,NORM,Q_Amp_aVF,0.13354389369487762,-0.08062624931335449,13,gradient_x_input
structured_mlp,NORM,T_DurFull_aVR,0.13339638710021973,-0.028018012642860413,14,gradient_x_input
structured_mlp,NORM,QRS_Dur_I,0.13254359364509583,-0.03805289790034294,15,gradient_x_input
structured_mlp,NORM,Q_Amp_V3,0.12918998301029205,-0.045010048896074295,16,gradient_x_input
structured_mlp,NORM,R_Amp_aVR,0.12700001895427704,0.032069671899080276,17,gradient_x_input
structured_mlp,NORM,S_Amp_aVL_iqr,0.12186569720506668,-0.10038136690855026,18,gradient_x_input
structured_mlp,NORM,T_DurFull_III,0.11960878223180771,0.022865399718284607,19,gradient_x_input
structured_mlp,NORM,P_Amp_aVL_iqr,0.11921761184930801,-0.10499941557645798,20,gradient_x_input
structured_mlp,NORM,Q_Amp_II,0.1188061460852623,-0.055706996470689774,21,gradient_x_input
structured_mlp,NORM,PQ_Int_V2,0.11754864454269409,-0.07002191990613937,22,gradient_x_input
structured_mlp,NORM,PQ_Int_aVL,0.11630123853683472,-0.07233432680368423,23,gradient_x_input
structured_mlp,NORM,P_Dur_Global,0.11591161042451859,0.08748865127563477,24,gradient_x_input
structured_mlp,NORM,T_Dur_Global,0.11284706741571426,0.013157815672457218,25,gradient_x_input
structured_mlp,NORM,QRS_Dur_V1,0.10851960629224777,-0.06004376336932182,26,gradient_x_input
structured_mlp,NORM,S_Amp_V4_iqr,0.10031446814537048,-0.07511068880558014,27,gradient_x_input
structured_mlp,NORM,PQ_Int_aVR,0.09431380033493042,0.06786330789327621,28,gradient_x_input
structured_mlp,NORM,S_Amp_V2,0.09125640243291855,-0.007685711607336998,29,gradient_x_input
structured_mlp,NORM,R_Amp_V6,0.08855494856834412,-0.08417768031358719,30,gradient_x_input
structured_mlp,NORM,Q_Amp_aVL,0.08788944035768509,-0.03180545195937157,31,gradient_x_input
structured_mlp,NORM,T_DurFull_V1,0.0877770408987999,-0.0019653632771223783,32,gradient_x_input
structured_mlp,NORM,T_DurFull_aVL_iqr,0.08770251274108887,-0.02476932853460312,33,gradient_x_input
structured_mlp,NORM,S_Amp_aVF,0.0873284637928009,0.014687344431877136,34,gradient_x_input
structured_mlp,NORM,T_Amp_I_iqr,0.08639877289533615,-0.07556018978357315,35,gradient_x_input
structured_mlp,NORM,QT_Int_aVF,0.08392786979675293,-0.003268790664151311,36,gradient_x_input
structured_mlp,NORM,S_Amp_III,0.0835108533501625,-0.05827217176556587,37,gradient_x_input
structured_mlp,NORM,R_Amp_V3,0.08219970017671585,0.020056411623954773,38,gradient_x_input
structured_mlp,NORM,S_Amp_V1,0.08077710121870041,-0.06365589052438736,39,gradient_x_input
structured_mlp,NORM,QT_IntCorr_V2,0.07926753908395767,-0.0019352653762325644,40,gradient_x_input
structured_mlp,NORM,PQ_Int_I,0.07823905348777771,-0.059934426099061966,41,gradient_x_input
structured_mlp,NORM,QT_IntCorr_aVF,0.07702510058879852,-0.010149572044610977,42,gradient_x_input
