epoch,train_loss,val_macro_auroc,val_macro_f1
1,0.555000874030329,0.5695759383023667,0.08108074770136352
2,0.5392919891942156,0.569045537342541,0.1073220686123912
3,0.5385342031499766,0.5682192340175458,0.11927285947355112
4,0.5372913051260649,0.5748226354311631,0.01317157712305026
5,0.5374834071980775,0.5740282203279987,0.08218913685279833
6,0.5352819561958313,0.5736490066446754,0.10880629866804983
7,0.5356174004774024,0.5758100398159759,0.08677939599978678
8,0.5340805464852465,0.5718369107011176,0.09307091344079153
9,0.5345268432241287,0.5744883744565967,0.1300723497955332
10,0.5346214297044016,0.5791719462280734,0.11327462565909888
11,0.5355413693146114,0.571897183984858,0.007956600361663653
12,0.5338008107930204,0.569235229529687,0.12733376299142146
13,0.535486987907521,0.5669682653578445,0.1154601807812817
14,0.5353052824953176,0.579789140883041,0.00075046904315197
15,0.5331930959746786,0.5801647755984224,0.11927285947355112
16,0.5341283570240883,0.5776420589560468,0.004403669724770643
17,0.5329640633868475,0.5753134176929006,0.0007561436672967864
18,0.533048559931943,0.5752333804839674,0.0022181146025878
19,0.5341918300973237,0.5744704466663658,0.12175169822228646
20,0.5338823673498891,0.5772273338455401,0.121384587011622
21,0.5332810537223398,0.5752607688753685,0.10880629866804983
22,0.5347100620287178,0.5797253552754027,0.038033717439467235
23,0.533866643253034,0.5767567949761565,0.0904388240203579
24,0.5342306612181837,0.5777451026775429,0.09311783364372142
