model_name,split,calibration_mode,label,bin,bin_left,bin_right,confidence,accuracy,count
strong_signal_only,val,raw,NORM,0,0.0,0.1,0.014340738448413206,0.020166073546856466,843
strong_signal_only,val,raw,NORM,1,0.1,0.2,0.1484923961347547,0.20689655172413793,116
strong_signal_only,val,raw,NORM,2,0.2,0.30000000000000004,0.24533132445521472,0.24390243902439024,82
strong_signal_only,val,raw,NORM,3,0.30000000000000004,0.4,0.35452875840491144,0.391304347826087,69
strong_signal_only,val,raw,NORM,4,0.4,0.5,0.4515725038354359,0.42857142857142855,63
strong_signal_only,val,raw,NORM,5,0.5,0.6000000000000001,0.5526216196108468,0.5316455696202531,79
strong_signal_only,val,raw,NORM,6,0.6000000000000001,0.7000000000000001,0.652153429272887,0.6103896103896104,77
strong_signal_only,val,raw,NORM,7,0.7000000000000001,0.8,0.7515151859226084,0.7744360902255639,133
strong_signal_only,val,raw,NORM,8,0.8,0.9,0.8586725281771793,0.7903225806451613,186
strong_signal_only,val,raw,NORM,9,0.9,1.0,0.9574301751974588,0.9364485981308411,535
strong_signal_only,val,raw,MI,0,0.0,0.1,0.016674335662842647,0.04789135096497498,1399
strong_signal_only,val,raw,MI,1,0.1,0.2,0.14316804151909024,0.3006535947712418,153
strong_signal_only,val,raw,MI,2,0.2,0.30000000000000004,0.24695546822301273,0.28735632183908044,87
strong_signal_only,val,raw,MI,3,0.30000000000000004,0.4,0.34562530875205993,0.5733333333333334,75
strong_signal_only,val,raw,MI,4,0.4,0.5,0.4514899838429231,0.5384615384615384,78
strong_signal_only,val,raw,MI,5,0.5,0.6000000000000001,0.542797373790367,0.5686274509803921,51
strong_signal_only,val,raw,MI,6,0.6000000000000001,0.7000000000000001,0.6471252603964373,0.7272727272727273,55
strong_signal_only,val,raw,MI,7,0.7000000000000001,0.8,0.7508987986272381,0.6451612903225806,62
strong_signal_only,val,raw,MI,8,0.8,0.9,0.8509373722011095,0.8493150684931506,73
strong_signal_only,val,raw,MI,9,0.9,1.0,0.9601048664251963,0.9733333333333334,150
strong_signal_only,val,raw,STTC,0,0.0,0.1,0.025050848617490403,0.010238907849829351,1172
strong_signal_only,val,raw,STTC,1,0.1,0.2,0.14584170196388588,0.15300546448087432,183
strong_signal_only,val,raw,STTC,2,0.2,0.30000000000000004,0.25140020660067025,0.24778761061946902,113
strong_signal_only,val,raw,STTC,3,0.30000000000000004,0.4,0.3504909184243944,0.3111111111111111,90
strong_signal_only,val,raw,STTC,4,0.4,0.5,0.4502422103326615,0.4657534246575342,73
strong_signal_only,val,raw,STTC,5,0.5,0.6000000000000001,0.5512318114439646,0.5416666666666666,72
strong_signal_only,val,raw,STTC,6,0.6000000000000001,0.7000000000000001,0.6454192347386304,0.6764705882352942,68
strong_signal_only,val,raw,STTC,7,0.7000000000000001,0.8,0.7492683956652512,0.5555555555555556,81
strong_signal_only,val,raw,STTC,8,0.8,0.9,0.8545413135454573,0.7327586206896551,116
strong_signal_only,val,raw,STTC,9,0.9,1.0,0.9518148940663005,0.8511627906976744,215
strong_signal_only,val,raw,CD,0,0.0,0.1,0.02719273386977338,0.0289193302891933,1314
strong_signal_only,val,raw,CD,1,0.1,0.2,0.14095485409987824,0.11904761904761904,168
strong_signal_only,val,raw,CD,2,0.2,0.30000000000000004,0.24741637458403906,0.21568627450980393,102
strong_signal_only,val,raw,CD,3,0.30000000000000004,0.4,0.34943187293016686,0.32075471698113206,53
strong_signal_only,val,raw,CD,4,0.4,0.5,0.4479340042098094,0.2711864406779661,59
strong_signal_only,val,raw,CD,5,0.5,0.6000000000000001,0.5521063127300956,0.45454545454545453,44
strong_signal_only,val,raw,CD,6,0.6000000000000001,0.7000000000000001,0.6484730136700165,0.5128205128205128,39
strong_signal_only,val,raw,CD,7,0.7000000000000001,0.8,0.7562454516688982,0.6666666666666666,48
strong_signal_only,val,raw,CD,8,0.8,0.9,0.8547912232081095,0.6933333333333334,75
strong_signal_only,val,raw,CD,9,0.9,1.0,0.9669420846416432,0.9181494661921709,281
strong_signal_only,val,raw,HYP,0,0.0,0.1,0.028281946762851118,0.03780864197530864,1296
strong_signal_only,val,raw,HYP,1,0.1,0.2,0.1463551175139554,0.1038961038961039,308
strong_signal_only,val,raw,HYP,2,0.2,0.30000000000000004,0.24572868057423167,0.16111111111111112,180
strong_signal_only,val,raw,HYP,3,0.30000000000000004,0.4,0.34633138495632726,0.23076923076923078,117
strong_signal_only,val,raw,HYP,4,0.4,0.5,0.450384775204445,0.2835820895522388,67
strong_signal_only,val,raw,HYP,5,0.5,0.6000000000000001,0.5435191696544863,0.3584905660377358,53
strong_signal_only,val,raw,HYP,6,0.6000000000000001,0.7000000000000001,0.6535768902727536,0.44642857142857145,56
strong_signal_only,val,raw,HYP,7,0.7000000000000001,0.8,0.7500090916951497,0.4666666666666667,45
strong_signal_only,val,raw,HYP,8,0.8,0.9,0.8516640904403868,0.7380952380952381,42
strong_signal_only,val,raw,HYP,9,0.9,1.0,0.9318451693183497,0.8421052631578947,19
