dataset,model,evaluation_status,n_signal_prediction_records,n_candidate_structured_records,n_joinable_signal_structured_records,record_coverage_fraction,n_required_reduced_features,n_available_reduced_features,structured_missing_fraction,macro_auroc,macro_average_precision,macro_f1,signal_only_macro_auroc,signal_only_macro_average_precision,signal_only_macro_f1,blocking_issue
cpsc2018,stage14l_fair_concat_mlp,not_evaluated_external_coverage_no_go,9944,2,2,0.00020112630732099757,138,138,0.0,,,,0.9070820190282964,0.6509030802750274,0.5903661064079991,external_reduced_structured_feature_coverage_too_low_or_embeddings_missing
chapman,stage14l_fair_concat_mlp,not_evaluated_external_coverage_no_go,45150,2,2,4.4296788482835e-05,138,138,0.0,,,,0.8741666345404479,0.1726644089346212,0.1649734338753834,external_reduced_structured_feature_coverage_too_low_or_embeddings_missing
