dataset,model,split,label,threshold,auroc,average_precision,f1,micro_f1,sensitivity,specificity,balanced_accuracy,brier_score,ece,positive_count,n_records,threshold_source,temperature_source,external_label_scope
cpsc2018,strong_signal_only,external_cpsc2018,macro,,0.9070820190282965,0.6509030802750274,0.5903661064079991,0.6292451879471934,0.8548508384441371,0.8173270589071828,0.83608894867566,0.12677161809696125,0.12617705278787356,3776,9944,ptbxl_validation,ptbxl_validation,high_confidence_subset
cpsc2018,strong_signal_only,external_cpsc2018,NORM,0.42,0.911937594584231,0.5255558971834964,0.4343624161073826,,0.9079685746352413,0.7763172429029052,0.8421429087690733,0.13162880481162784,0.17514046709661923,891,9944,ptbxl_validation,ptbxl_validation,high_confidence_subset
cpsc2018,strong_signal_only,external_cpsc2018,CD,0.51,0.9022264434723621,0.7762502633665584,0.7463697967086157,,0.801733102253033,0.8583368749114606,0.8300349885822468,0.12191443138229463,0.07721363847912788,2885,9944,ptbxl_validation,ptbxl_validation,high_confidence_subset
chapman,strong_signal_only,external_chapman,macro,,0.8741666345404479,0.17266440893462123,0.16497343387538344,0.1853960875460004,0.7041581287038418,0.852003663843779,0.7780808962738104,0.08546173936679496,0.14121495146274096,3932,45150,ptbxl_validation,ptbxl_validation,high_confidence_subset
chapman,strong_signal_only,external_chapman,MI,0.3,0.9349162860007573,0.07958692755268604,0.027688757851557493,,0.8780487804878049,0.8318786505874253,0.8549637155376151,0.07085445093107313,0.14771210607536606,123,45150,ptbxl_validation,ptbxl_validation,high_confidence_subset
chapman,strong_signal_only,external_chapman,CD,0.51,0.8387829359675373,0.2624260118136433,0.3318890015672536,,0.5886200130804448,0.8577164306756628,0.7231682218780537,0.12662702087088626,0.14370036922240823,3058,45150,ptbxl_validation,ptbxl_validation,high_confidence_subset
chapman,strong_signal_only,external_chapman,HYP,0.34,0.8488006816530488,0.1759802874375344,0.13534254220733918,,0.6458055925432756,0.8664159102682493,0.7561107514057624,0.05890374629842547,0.13223237909044866,751,45150,ptbxl_validation,ptbxl_validation,high_confidence_subset
