model,test_macro_auroc,test_macro_ap,test_macro_f1,fair_gated_interface
strong signal-only,0.9098145514801864,0.7720569033583059,0.699812139990542,reference
structured-only,0.8744547522921897,0.6909732049706188,0.6550168752251417,reference
late-probability concat,0.8927036901430954,0.7339917510636993,0.6830365323106268,no
fair MLP-concat,0.9192507455884116,0.7952891946259257,0.7207618723642264,yes
gated fusion MLP,0.9195696937646384,0.797778685859135,0.7254634145855452,yes
