split,metric,estimate,ci_lower,ci_upper,n_bootstrap
val,auroc,0.9231153878120628,0.9153301325829126,0.9306722092688825,1000
val,average_precision,0.7983895974224742,0.7804857466871218,0.8183532016597674,1000
val,f1,0.7278849508633719,0.7103290434238864,0.7446773351267484,1000
test,auroc,0.9195696937646385,0.9117805369275839,0.9269433752545004,1000
test,average_precision,0.797778685859135,0.7789828450463656,0.8156646254767221,1000
test,f1,0.7254634145855452,0.7084310640267208,0.7430102669274323,1000
