model_name,probability_mode,uncertainty_score,split,coverage,metric,estimate,ci_lower,ci_upper,n_bootstrap,seed
strong_signal_only,temperature_scaled,entropy_macro,test,1.0,retained_macro_auroc,0.9098145514801864,0.9017167667831164,0.9173129201371859,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,1.0,retained_macro_f1,0.7102072525783615,0.693677647545188,0.7255797751697889,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,1.0,retained_brier,0.09026577838993696,0.08623792816065999,0.09492587926826454,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,1.0,retained_ece,0.03198421054005557,0.030543340365629265,0.04028623711787601,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,0.9,retained_macro_auroc,0.9171731619561271,0.9086349555317271,0.9247313334317125,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,0.9,retained_macro_f1,0.7256501461980835,0.707569015906453,0.7406065157753673,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,0.9,retained_brier,0.08228458325583457,0.07814576604041623,0.08701580810875702,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,0.9,retained_ece,0.029149938211713335,0.027995153540188063,0.037776159061925205,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,0.8,retained_macro_auroc,0.9237220935255468,0.915090628572608,0.9325767970641722,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,0.8,retained_macro_f1,0.7419589860586825,0.72449754830303,0.7588813335033232,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,0.8,retained_brier,0.07353397889725788,0.06869834096583731,0.07810811195806205,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,0.8,retained_ece,0.02555286539445184,0.025242743353850357,0.035075265139518655,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,0.7,retained_macro_auroc,0.9286957803672653,0.9187745207911463,0.9380067715291399,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,0.7,retained_macro_f1,0.7535471277150417,0.7336162297391499,0.7723930521335796,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,0.7,retained_brier,0.06464739761697993,0.05939123792375952,0.06922742791654196,1000,2026
strong_signal_only,temperature_scaled,entropy_macro,test,0.7,retained_ece,0.020285748538878427,0.021674769959089246,0.030689585904892045,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,1.0,retained_macro_auroc,0.9192507455884117,0.9121440191249868,0.9265554810534624,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,1.0,retained_macro_f1,0.7240411972108871,0.7090429394353406,0.7396210450615389,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,1.0,retained_brier,0.08635550125585137,0.08190672901433166,0.09051704391945581,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,1.0,retained_ece,0.028284265180317653,0.02755909574279013,0.03684707963166483,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,0.9,retained_macro_auroc,0.9256704588159315,0.9173597014728889,0.933281742347547,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,0.9,retained_macro_f1,0.744448517900542,0.7280261929043991,0.7599100627953285,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,0.9,retained_brier,0.07810765536537341,0.07369061499033147,0.08276641945848286,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,0.9,retained_ece,0.026190104247719354,0.025887264834882597,0.03556004171389177,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,0.8,retained_macro_auroc,0.9315311002982101,0.9231683906989276,0.9396631699778568,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,0.8,retained_macro_f1,0.7574694389668032,0.7387948341469192,0.7752183553067197,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,0.8,retained_brier,0.06977547352486752,0.06510641096236426,0.07424907652530512,1000,2026
fair_concat_mlp,temperature_scaled,entropy_macro,test,0.8,retained_ece,0.022497812380532122,0.022701071314669554,0.03243963408309158,1000,2026
