split,threshold_mode,n_seeds,auroc_mean,auroc_std,average_precision_mean,average_precision_std,f1_mean,f1_std
test,default_0.5,3,0.9198825467582887,0.0004778638551959949,0.7969483596337915,0.002379497913480274,0.7174968276869258,0.007107116161311974
val,default_0.5,3,0.9237668945792851,0.0005665938384193773,0.7985714934741418,0.0005365095399572084,0.7236083681124054,0.00932925085124803
