comparison,split,metric,left_model,right_model,left_value,right_value,delta_right_minus_left,paired_bootstrap_ci_lower,paired_bootstrap_ci_upper,ci_contains_zero,n_bootstrap,subset_name
stage27_concordance_138_matched_concat_mlp_minus_stage14l_signal_embedding_mlp,test,auroc,stage14l_signal_embedding_mlp,stage27_concordance_138_matched_concat_mlp,0.9094108605268953,0.9096655689447324,0.00025470841783703513,-0.0008330031432465467,0.0012963892697437326,True,300,concordance_138
stage27_concordance_138_matched_concat_mlp_minus_stage14l_signal_embedding_mlp,test,average_precision,stage14l_signal_embedding_mlp,stage27_concordance_138_matched_concat_mlp,0.7722004486218713,0.7730997819573394,0.0008993333354680999,-0.0017414642989671187,0.0034100421603822555,True,300,concordance_138
stage27_concordance_138_matched_concat_mlp_minus_stage14l_signal_embedding_mlp,test,f1,stage14l_signal_embedding_mlp,stage27_concordance_138_matched_concat_mlp,0.6980867420939594,0.6938211645939891,-0.004265577499970252,-0.010102596460909826,0.002107224607829544,True,300,concordance_138
stage27_concordance_138_matched_concat_mlp_minus_stage27_concordance_138_structured_mlp,test,auroc,stage27_concordance_138_structured_mlp,stage27_concordance_138_matched_concat_mlp,0.5703637296030353,0.9096655689447324,0.3393018393416971,0.32193302625968123,0.35569939400033346,False,300,concordance_138
stage27_concordance_138_matched_concat_mlp_minus_stage27_concordance_138_structured_mlp,test,average_precision,stage27_concordance_138_structured_mlp,stage27_concordance_138_matched_concat_mlp,0.3044559717118323,0.7730997819573394,0.4686438102455071,0.44840274932476054,0.48698705749142956,False,300,concordance_138
stage27_concordance_138_matched_concat_mlp_minus_stage27_concordance_138_structured_mlp,test,f1,stage27_concordance_138_structured_mlp,stage27_concordance_138_matched_concat_mlp,0.0,0.6938211645939891,0.6938211645939891,0.6756796773198461,0.7091746984284386,False,300,concordance_138
stage27_random_138_seed2026_matched_concat_mlp_minus_stage14l_signal_embedding_mlp,test,auroc,stage14l_signal_embedding_mlp,stage27_random_138_seed2026_matched_concat_mlp,0.9094108605268953,0.9195223461778872,0.010111485650991847,0.007476008418424182,0.012799128478153064,False,300,random_138_seed2026
stage27_random_138_seed2026_matched_concat_mlp_minus_stage14l_signal_embedding_mlp,test,average_precision,stage14l_signal_embedding_mlp,stage27_random_138_seed2026_matched_concat_mlp,0.7722004486218713,0.7960056102836642,0.023805161661792917,0.017288701293667635,0.030304913622196453,False,300,random_138_seed2026
stage27_random_138_seed2026_matched_concat_mlp_minus_stage14l_signal_embedding_mlp,test,f1,stage14l_signal_embedding_mlp,stage27_random_138_seed2026_matched_concat_mlp,0.6980867420939594,0.7110069533724132,0.012920211278453775,0.002545681419121951,0.023915819606916345,False,300,random_138_seed2026
stage27_random_138_seed2026_matched_concat_mlp_minus_stage27_random_138_seed2026_structured_mlp,test,auroc,stage27_random_138_seed2026_structured_mlp,stage27_random_138_seed2026_matched_concat_mlp,0.8693879835783379,0.9195223461778872,0.05013436259954929,0.04321053808175859,0.05875976167007904,False,300,random_138_seed2026
stage27_random_138_seed2026_matched_concat_mlp_minus_stage27_random_138_seed2026_structured_mlp,test,average_precision,stage27_random_138_seed2026_structured_mlp,stage27_random_138_seed2026_matched_concat_mlp,0.7043800312283999,0.7960056102836642,0.09162557905526436,0.07685227033660412,0.10838816968646872,False,300,random_138_seed2026
stage27_random_138_seed2026_matched_concat_mlp_minus_stage27_random_138_seed2026_structured_mlp,test,f1,stage27_random_138_seed2026_structured_mlp,stage27_random_138_seed2026_matched_concat_mlp,0.6234805493691897,0.7110069533724132,0.08752640400322342,0.06833443235819202,0.10600922148003267,False,300,random_138_seed2026
stage27_importance_138_internal_xai_matched_concat_mlp_minus_stage14l_signal_embedding_mlp,test,auroc,stage14l_signal_embedding_mlp,stage27_importance_138_internal_xai_matched_concat_mlp,0.9094108605268953,0.92208133971426,0.012670479187364636,0.009258670793809935,0.016109011457036415,False,300,importance_138_internal_xai
stage27_importance_138_internal_xai_matched_concat_mlp_minus_stage14l_signal_embedding_mlp,test,average_precision,stage14l_signal_embedding_mlp,stage27_importance_138_internal_xai_matched_concat_mlp,0.7722004486218713,0.8030501742697769,0.030849725647905557,0.02097142816410377,0.040309733382689686,False,300,importance_138_internal_xai
stage27_importance_138_internal_xai_matched_concat_mlp_minus_stage14l_signal_embedding_mlp,test,f1,stage14l_signal_embedding_mlp,stage27_importance_138_internal_xai_matched_concat_mlp,0.6980867420939594,0.7309754990929301,0.03288875699897076,0.020347555062311277,0.04593408519211455,False,300,importance_138_internal_xai
stage27_importance_138_internal_xai_matched_concat_mlp_minus_stage27_importance_138_internal_xai_structured_mlp,test,auroc,stage27_importance_138_internal_xai_structured_mlp,stage27_importance_138_internal_xai_matched_concat_mlp,0.9084520159564275,0.92208133971426,0.013629323757832434,0.008622738248337808,0.019308282582345293,False,300,importance_138_internal_xai
stage27_importance_138_internal_xai_matched_concat_mlp_minus_stage27_importance_138_internal_xai_structured_mlp,test,average_precision,stage27_importance_138_internal_xai_structured_mlp,stage27_importance_138_internal_xai_matched_concat_mlp,0.7752843542692722,0.8030501742697769,0.02776582000050465,0.014092370991543474,0.04279770776770839,False,300,importance_138_internal_xai
stage27_importance_138_internal_xai_matched_concat_mlp_minus_stage27_importance_138_internal_xai_structured_mlp,test,f1,stage27_importance_138_internal_xai_structured_mlp,stage27_importance_138_internal_xai_matched_concat_mlp,0.6982461033627891,0.7309754990929301,0.032729395730141,0.01877747976789319,0.04738552922734549,False,300,importance_138_internal_xai
