model,validation_macro_auroc,test_macro_auroc,test_macro_average_precision,test_macro_f1
strong signal-only,0.9114075266819333,0.9098145514801864,0.7720569033583059,0.699812139990542
signal-embedding MLP,0.9124966271965246,0.9094370505165978,0.7723626520223539,0.7002162028010851
structured MLP,0.9084983378123198,0.904558478266399,0.7651519782366677,0.6898926599155943
fair MLP-concat,0.9226791643987468,0.9192507455884116,0.7952891946259257,0.7207618723642264
gated fusion MLP,0.9231153878120628,0.9195696937646384,0.797778685859135,0.7254634145855452
