split,metric,estimate,ci_lower,ci_upper,n_bootstrap
val,auroc,0.8645536252658029,0.8544669080754738,0.8746208119411978,500
val,average_precision,0.6941396333596138,0.6770136181630443,0.7163258063754431,500
val,f1,0.5941342108396624,0.5750284762769574,0.6141364643725167,500
test,auroc,0.8611693814120132,0.8501410833578797,0.871500474051232,500
test,average_precision,0.6866881325774221,0.6684150536708378,0.7054453319121997,500
test,f1,0.5878994912301362,0.5673047168285354,0.6072688812855066,500
