model_name,split,calibration_mode,temperature_status,n_bins,classwise_brier_NORM,classwise_ece_NORM,classwise_mce_NORM,classwise_brier_MI,classwise_ece_MI,classwise_mce_MI,classwise_brier_STTC,classwise_ece_STTC,classwise_mce_STTC,classwise_brier_CD,classwise_ece_CD,classwise_mce_CD,classwise_brier_HYP,classwise_ece_HYP,classwise_mce_HYP,macro_brier,macro_ece,macro_mce
strong_signal_only,val,raw,fitted,10,0.09504519251207941,0.021827314613163257,0.06834994753201806,0.09608486418922348,0.050173394301596556,0.22770802458127343,0.09364190573009985,0.035736694858564434,0.19371284010969558,0.07687135606802649,0.027868347871469915,0.1767475635318433,0.08922499840366678,0.04854964207988164,0.28334242502848306,0.09017366338061919,0.03683107874493516,0.18997216015666268
strong_signal_only,test,raw,fitted,10,0.09657576396976593,0.022006047833450906,0.1059774062255534,0.09750736350345438,0.05118017131957391,0.2123464622918297,0.08827811736081465,0.027942026022848565,0.17857728253549604,0.08492837246739253,0.03269897865258571,0.21202474428435508,0.08794103926745181,0.051194745917640075,0.2450884798398385,0.09104613131377585,0.037004393949219824,0.19080287503541454
signal_embedding_mlp,val,raw,fitted,10,0.09571366824558483,0.039385427493748536,0.10926764936589478,0.09063478002584209,0.03976603361275792,0.13418140014012653,0.09146015362195983,0.025513438545746687,0.12172349700421992,0.07423632219749719,0.028978212086107052,0.1873644033203955,0.08577381001984756,0.03720941872023461,0.19922214169656077,0.08756374682214631,0.03417050609171896,0.15035181830543948
signal_embedding_mlp,test,raw,fitted,10,0.09855418930870895,0.04337370386188745,0.11883013976084722,0.09435250528054492,0.04052773728714425,0.17464437240209335,0.08822790229095188,0.026782984377904655,0.12456555846260808,0.08386431917369642,0.04204976052901976,0.22407819302576892,0.08286006013716442,0.03755737205633742,0.14622113747256138,0.08957179523821332,0.03805831162245871,0.1576678802247758
structured_mlp,val,raw,fitted,10,0.10206949222777667,0.031024589551318427,0.11950404982309082,0.1107631309000964,0.026036456068458027,0.09455131632941105,0.10017503533773785,0.019618869834987368,0.1144232908181384,0.08769288240833843,0.012701515561069486,0.13054011975015914,0.0689909851815064,0.01317384132101816,0.13272356986999512,0.09393830521109114,0.020511054467370296,0.1183484693181589
structured_mlp,test,raw,fitted,10,0.10314445594182388,0.04141380072452573,0.12019935995340347,0.11562922113558045,0.04109122365063197,0.121430811943946,0.08995653631427313,0.018328901578250924,0.06643199554439319,0.09418484008304559,0.015030824950524607,0.13953416931385898,0.0690457325385394,0.015425462918656107,0.2898156265417735,0.09439215720265248,0.026258042764517864,0.14748239265947502
fair_concat_mlp,val,raw,fitted,10,0.0956613627656388,0.05300673338229821,0.18683699494408024,0.0900033929824674,0.039439535841831755,0.12739572674036026,0.09239420791258446,0.03509493742233678,0.12382565135878276,0.0741845062934955,0.03226284992828484,0.13807985867772787,0.07746212618633636,0.0380091090775214,0.17273181676864624,0.0859411192281045,0.03956263313045459,0.14977400969791949
fair_concat_mlp,test,raw,fitted,10,0.09948276135587523,0.057639008549694865,0.2299964496722588,0.09496837153410011,0.04596049572434843,0.1700580190209781,0.08914774062506417,0.03446499230167063,0.13083243754602247,0.08205815883414719,0.03878189811249031,0.14463939853743013,0.07490382366188394,0.03458566646943384,0.2284603701081387,0.08811217120221412,0.04228641223152761,0.18079733497696565
gated_fusion_mlp,val,raw,fitted,10,0.09184059474711571,0.039424451007967085,0.1217437697684064,0.09126478484734514,0.037667834635814815,0.14086269312783295,0.09155540206633055,0.030020554195477358,0.18439358633917735,0.07322479565140942,0.027013397615619345,0.14825532604486513,0.07391394600350912,0.02602529258111356,0.1383223359177752,0.08435990466314199,0.03203030600719843,0.14671554223961142
gated_fusion_mlp,test,raw,fitted,10,0.09475185743050193,0.04129640572577975,0.18548023172571682,0.09541779486298382,0.04375594637859368,0.17990695635477694,0.08733543692031467,0.03258763369664035,0.10584342025094112,0.08012029882783313,0.03377120555496872,0.2005581378936767,0.07130134832721087,0.0264485502278631,0.2424445188406742,0.08578534727376888,0.03557194831676912,0.18284665301315714
late_probability_concat,val,raw,missing,10,0.1078940608495134,0.05285974205713514,0.20926366796096163,0.12277960815301955,0.10242755442067526,0.295949110300234,0.11147221276766836,0.10476327867584359,0.2117441620145526,0.11171821559908866,0.11494565880683624,0.3159521172444026,0.12575492130259253,0.17026906702143058,0.46142854627810026,0.11592380373437652,0.10905306019638417,0.29886752075965023
late_probability_concat,test,raw,missing,10,0.11144036005277977,0.05935048799763279,0.25583471118153395,0.13315306917114317,0.0909808455219141,0.29425902764002476,0.11222104630817328,0.10569199354507552,0.27995255267297897,0.11604032404989961,0.11580257200242658,0.3287202537833871,0.1295294432085678,0.18191162723547702,0.5216650839733041,0.12047684855811273,0.11074750526050521,0.3360863258502458
