model_name,split,n_bins,calibration_mode,classwise_brier_NORM,classwise_ece_NORM,classwise_mce_NORM,classwise_brier_MI,classwise_ece_MI,classwise_mce_MI,classwise_brier_STTC,classwise_ece_STTC,classwise_mce_STTC,classwise_brier_CD,classwise_ece_CD,classwise_mce_CD,classwise_brier_HYP,classwise_ece_HYP,classwise_mce_HYP,macro_brier,macro_ece,macro_mce
strong_signal_only,val,10,temperature_scaled_minus_raw,-0.0005527844149642164,-0.01045812081241717,-0.03146716439595787,-0.002534006991517887,-0.020687645963760326,-0.08493885432399301,-0.00038547180325156083,0.002492095954722398,-0.03286202463470855,-0.00023936292152444694,0.003324269744612196,0.0229653497554701,0.00010751150394250342,-0.0005237960879590289,-0.045062651194579195,-0.0007208229254631049,-0.0051706394329603805,-0.034273068958753705
strong_signal_only,test,10,temperature_scaled_minus_raw,-0.0005972710852234081,-0.00463654735363667,-0.02785030153044965,-0.0028058863673123685,-0.02009169793911958,-0.05457961556849503,-0.0002636045497834555,0.004313994958928244,-0.04346367168574389,-0.0003606642571670621,-0.003323175236802676,-0.049468859495337025,0.0001256615060347549,-0.0013634894437859965,-0.001621852987087724,-0.0007803529506903023,-0.005020183002883323,-0.035396860253422674
signal_embedding_mlp,val,10,temperature_scaled_minus_raw,-0.0019933867165859154,-0.02330691119171461,-0.056748090615326235,-0.0019059776886213714,-0.02702034419560059,-0.054736010316345396,-0.0006176164345503277,0.0010480022173214552,-0.01808340250339935,-0.0003435723778345001,-0.0021549568837973855,0.0037153670062188837,-0.0007998214583559843,-0.02054810147676655,-0.02836314440938853,-0.001132074935189617,-0.014396462306111538,-0.030843056167648097
signal_embedding_mlp,test,10,temperature_scaled_minus_raw,-0.002480029571127154,-0.024391957099190602,-0.03321099384522541,-0.0023277426227754916,-0.023831743498853662,-0.06499892160391962,-0.0005993549839514861,-0.004053863426946042,0.005742932528984279,-0.0006758843910135565,-0.014740405111937686,-0.02980989505728021,-0.00016894991081528588,-0.014830676444140007,-0.002503610661720862,-0.0012503922959365976,-0.0163697291162136,-0.02495609772783236
structured_mlp,val,10,temperature_scaled_minus_raw,-0.0006473114162624111,-0.006829679452493031,-0.008341811818359857,-0.00046522600913555257,-0.006683534225963853,-0.03248687456180521,-0.0002061660059951287,-0.0011905586341154697,-0.04321996418104379,0.00012958296749457365,0.002136640860630052,-0.011743499416610348,-0.00017100604799177854,-0.004523781516396546,-0.033895281808716926,-0.00027202530237804834,-0.00341818259366777,-0.02593748635730722
structured_mlp,test,10,temperature_scaled_minus_raw,-0.0005555228211845259,-0.004345210406425486,-0.023909880521417737,-0.0007497490939995799,-0.01865079496518486,-0.049917461042381095,0.0005352365519904062,0.004973007676427308,0.04153851015587981,-2.9192957557211408e-05,-0.0023191593852961035,-0.004667603847931856,-0.00012203135237684459,-0.004817044074876525,0.00690027632932555,-0.00018425193462554001,-0.00503184023107113,-0.006011231785305049
fair_concat_mlp,val,10,temperature_scaled_minus_raw,-0.0029306838265463903,-0.014940620570180682,-0.04173727450978276,-0.0021453289346165666,-0.020537827641815658,-0.026223454251885436,-0.000993961446568492,-0.0025946546876920787,-0.01223036155085866,-0.0014886998825902609,-0.020661150978425816,-0.0670237162283489,-0.0002547017340382013,-0.009606103245638278,0.01271472205506996,-0.0015626751648719767,-0.013668071424750496,-0.026900016897161164
fair_concat_mlp,test,10,temperature_scaled_minus_raw,-0.0037103032288767213,-0.010932068790491432,-0.0840938670949622,-0.0026012057874019445,-0.02731768892173717,-0.05917256068782639,-0.0010203856677142853,-0.009965926187529603,0.03447922928038466,-0.001469608950525142,-0.021709229776707174,-0.05191805324773191,1.815426218323979e-05,-8.582133533566877e-05,-0.05037020588592331,-0.0017566698744669595,-0.014002147002360209,-0.04221509152721184
gated_fusion_mlp,val,10,temperature_scaled_minus_raw,-0.002094242593541948,-0.019783336997785443,-0.0665740387285138,-0.001893526941013593,-0.023081429619448826,-0.04657852651929495,-0.0013710204113129981,-0.002994537558174741,-0.09934281107096377,-0.0009095767105182784,-0.013290685177800434,-0.06350446403165522,-0.00016964107374142778,-0.01042821115800495,0.0076152997003223755,-0.0012876015460256407,-0.013915640102242874,-0.053676908130021087
gated_fusion_mlp,test,10,temperature_scaled_minus_raw,-0.0024208559372860677,-0.016453460424765063,-0.07162253007568409,-0.0026986573388166485,-0.027373926145465466,-0.09355392514923455,-0.0011411995782415474,-0.013086467157084725,-0.0047254004141507044,-0.0006906521233255164,-0.020838922863661232,-0.03047248891421722,0.00012763478644831072,-0.00372496746079232,-0.11940448680974303,-0.0013647460382442828,-0.016295548810353756,-0.06395576627260591
late_probability_concat,val,10,temperature_scaled_minus_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
late_probability_concat,test,10,temperature_scaled_minus_raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
