dataset,label,bin,bin_left,bin_right,n,mean_predicted_probability,observed_fraction_positive,absolute_gap,temperature_source
cpsc2018,NORM,0,0.0,0.1,5551,0.019300787604114588,0.00468384074941452,0.014616946854700068,internal validation temperature scaling
cpsc2018,NORM,1,0.1,0.2,672,0.14382053616767124,0.019345238095238096,0.12447529807243314,internal validation temperature scaling
cpsc2018,NORM,2,0.2,0.30000000000000004,475,0.24816958791331242,0.05052631578947368,0.19764327212383875,internal validation temperature scaling
cpsc2018,NORM,3,0.30000000000000004,0.4,364,0.34747052896808794,0.04945054945054945,0.2980199795175385,internal validation temperature scaling
cpsc2018,NORM,4,0.4,0.5,335,0.452880849144352,0.06865671641791045,0.38422413272644157,internal validation temperature scaling
cpsc2018,NORM,5,0.5,0.6000000000000001,355,0.5513603497558917,0.1267605633802817,0.42459978637560997,internal validation temperature scaling
cpsc2018,NORM,6,0.6000000000000001,0.7000000000000001,346,0.6496799381482119,0.1329479768786127,0.5167319612695992,internal validation temperature scaling
cpsc2018,NORM,7,0.7000000000000001,0.8,428,0.7509673948042861,0.2102803738317757,0.5406870209725104,internal validation temperature scaling
cpsc2018,NORM,8,0.8,0.9,571,0.8524622402550251,0.31523642732049034,0.5372258129345349,internal validation temperature scaling
cpsc2018,NORM,9,0.9,1.0,847,0.949284125528482,0.5029515938606848,0.4463325316677972,internal validation temperature scaling
cpsc2018,CD,0,0.0,0.1,4510,0.02999469667988408,0.03902439024390244,0.009029693564018358,internal validation temperature scaling
cpsc2018,CD,1,0.1,0.2,898,0.143736063455022,0.11469933184855234,0.02903673160646965,internal validation temperature scaling
cpsc2018,CD,2,0.2,0.30000000000000004,546,0.24629671022896366,0.18864468864468864,0.057652021584275015,internal validation temperature scaling
cpsc2018,CD,3,0.30000000000000004,0.4,365,0.34859760950689445,0.19452054794520549,0.15407706156168896,internal validation temperature scaling
cpsc2018,CD,4,0.4,0.5,279,0.44891022268589253,0.3655913978494624,0.08331882483643016,internal validation temperature scaling
cpsc2018,CD,5,0.5,0.6000000000000001,281,0.5489939512731342,0.42704626334519574,0.12194768792793848,internal validation temperature scaling
cpsc2018,CD,6,0.6000000000000001,0.7000000000000001,268,0.6494769927725863,0.48507462686567165,0.16440236590691465,internal validation temperature scaling
cpsc2018,CD,7,0.7000000000000001,0.8,310,0.7511463486379193,0.5064516129032258,0.24469473573469347,internal validation temperature scaling
cpsc2018,CD,8,0.8,0.9,409,0.8561338552052934,0.5770171149144254,0.27911674029086797,internal validation temperature scaling
cpsc2018,CD,9,0.9,1.0,2078,0.9666555271743007,0.8118383060635226,0.1548172211107781,internal validation temperature scaling
chapman,MI,0,0.0,0.1,29177,0.029098577554875833,0.00013709428659560612,0.028961483268280228,internal validation temperature scaling
chapman,MI,1,0.1,0.2,5554,0.14325402846488108,0.0012603528988116672,0.14199367556606943,internal validation temperature scaling
chapman,MI,2,0.2,0.30000000000000004,2741,0.2449453145276452,0.001459321415541773,0.24348599311210342,internal validation temperature scaling
chapman,MI,3,0.30000000000000004,0.4,1936,0.3466318984446693,0.0025826446280991736,0.34404925381657014,internal validation temperature scaling
chapman,MI,4,0.4,0.5,1359,0.4477860714206808,0.002207505518763797,0.44557856590191697,internal validation temperature scaling
chapman,MI,5,0.5,0.6000000000000001,1126,0.5485983585697296,0.0026642984014209592,0.5459340601683087,internal validation temperature scaling
chapman,MI,6,0.6000000000000001,0.7000000000000001,901,0.6504921344223615,0.011098779134295227,0.6393933552880663,internal validation temperature scaling
chapman,MI,7,0.7000000000000001,0.8,796,0.7498308451630962,0.013819095477386936,0.7360117496857093,internal validation temperature scaling
chapman,MI,8,0.8,0.9,832,0.8501723334909632,0.02403846153846154,0.8261338719525017,internal validation temperature scaling
chapman,MI,9,0.9,1.0,728,0.9457690731345952,0.07692307692307693,0.8688459962115183,internal validation temperature scaling
chapman,CD,0,0.0,0.1,27743,0.026703959248977716,0.013625058573333813,0.013078900675643903,internal validation temperature scaling
chapman,CD,1,0.1,0.2,4491,0.14292473114066384,0.06791360498775328,0.07501112615291056,internal validation temperature scaling
chapman,CD,2,0.2,0.30000000000000004,2332,0.2456463882651685,0.09605488850771869,0.1495914997574498,internal validation temperature scaling
chapman,CD,3,0.30000000000000004,0.4,1550,0.3465646077740577,0.12387096774193548,0.2226936400321222,internal validation temperature scaling
chapman,CD,4,0.4,0.5,1142,0.4452756546737851,0.1287215411558669,0.3165541135179182,internal validation temperature scaling
chapman,CD,5,0.5,0.6000000000000001,992,0.548627104309778,0.1663306451612903,0.3822964591484877,internal validation temperature scaling
chapman,CD,6,0.6000000000000001,0.7000000000000001,883,0.6487165439709397,0.17780294450736125,0.47091359946357847,internal validation temperature scaling
chapman,CD,7,0.7000000000000001,0.8,1046,0.7537791628682591,0.17495219885277247,0.5788269640154866,internal validation temperature scaling
chapman,CD,8,0.8,0.9,1275,0.8543295610652251,0.18274509803921568,0.6715844630260094,internal validation temperature scaling
chapman,CD,9,0.9,1.0,3696,0.960509592465637,0.2905844155844156,0.6699251768812214,internal validation temperature scaling
chapman,HYP,0,0.0,0.1,26544,0.03166158381869621,0.003503616636528029,0.02815796718216818,internal validation temperature scaling
chapman,HYP,1,0.1,0.2,7168,0.14397079967706564,0.010602678571428572,0.13336812110563706,internal validation temperature scaling
chapman,HYP,2,0.2,0.30000000000000004,3933,0.24611036163870081,0.018560894991100942,0.22754946664759987,internal validation temperature scaling
chapman,HYP,3,0.30000000000000004,0.4,2432,0.3464193783185788,0.02425986842105263,0.3221595098975261,internal validation temperature scaling
chapman,HYP,4,0.4,0.5,1716,0.4462719069042684,0.03787878787878788,0.4083931190254805,internal validation temperature scaling
chapman,HYP,5,0.5,0.6000000000000001,1251,0.5492182255839463,0.04476418864908074,0.5044540369348656,internal validation temperature scaling
chapman,HYP,6,0.6000000000000001,0.7000000000000001,818,0.6463200342101398,0.07823960880195599,0.5680804254081838,internal validation temperature scaling
chapman,HYP,7,0.7000000000000001,0.8,568,0.7475615605502062,0.125,0.6225615605502062,internal validation temperature scaling
chapman,HYP,8,0.8,0.9,468,0.8476991684008868,0.20512820512820512,0.6425709632726817,internal validation temperature scaling
chapman,HYP,9,0.9,1.0,252,0.9346730354286376,0.3888888888888889,0.5457841465397486,internal validation temperature scaling
