model_name,split,calibration_mode,metric,estimate,ci_lower,ci_upper,n_bootstrap,seed
strong_signal_only,test,raw,macro_brier,0.09104613131377585,0.08672117060975273,0.0960558914682338,1000,2026
strong_signal_only,test,raw,macro_ece,0.037004393949219824,0.03441120075119389,0.04535030515548984,1000,2026
strong_signal_only,test,temperature_scaled,macro_brier,0.09026577836308555,0.08590056303208081,0.09473088231749023,1000,2026
strong_signal_only,test,temperature_scaled,macro_ece,0.0319842109463365,0.030214507854887534,0.04024047209558029,1000,2026
structured_mlp,test,raw,macro_brier,0.09439215720265248,0.09016518801566167,0.0986462927105213,1000,2026
structured_mlp,test,raw,macro_ece,0.026258042764517864,0.025462495739949922,0.03542258583806806,1000,2026
structured_mlp,test,temperature_scaled,macro_brier,0.09420790526802694,0.08999062784196842,0.09833955722431038,1000,2026
structured_mlp,test,temperature_scaled,macro_ece,0.021226202533446734,0.022073880612737927,0.031219417693704177,1000,2026
fair_concat_mlp,test,raw,macro_brier,0.08811217120221412,0.08314139966125546,0.09271906061753973,1000,2026
fair_concat_mlp,test,raw,macro_ece,0.04228641223152761,0.03848797387500892,0.04996009979550247,1000,2026
fair_concat_mlp,test,temperature_scaled,macro_brier,0.08635550132774716,0.08184645366379316,0.09088026109560848,1000,2026
fair_concat_mlp,test,temperature_scaled,macro_ece,0.028284265229167403,0.02796854804785572,0.037010363047301396,1000,2026
gated_fusion_mlp,test,raw,macro_brier,0.08578534727376888,0.08082987071293687,0.09033427581293935,1000,2026
gated_fusion_mlp,test,raw,macro_ece,0.03557194831676912,0.03274620715692748,0.043534895042288,1000,2026
gated_fusion_mlp,test,temperature_scaled,macro_brier,0.0844206012355246,0.07972906641945904,0.08857133985002211,1000,2026
gated_fusion_mlp,test,temperature_scaled,macro_ece,0.01927639950641536,0.02071913815861414,0.028818329574138164,1000,2026
