model,split,threshold_mode,auroc,average_precision,f1,micro_f1,positive_count
gated_fusion_mlp,val,default_0.5,0.9231153878120628,0.7983895974224742,0.7278849508633719,0.7713916096839771,2786
gated_fusion_mlp,test,default_0.5,0.9195696937646385,0.797778685859135,0.7254634145855452,0.7680761486362805,2792
gated_fusion_mlp,val,validation_tuned,0.9231153878120628,0.7983895974224742,0.7423291843321106,0.7787766613784594,2786
gated_fusion_mlp,test,validation_tuned,0.9195696937646385,0.797778685859135,0.7293454193815034,0.7671568627450981,2792
