model_name,feature,attribution_mean_abs,attribution_signed_mean,rank
fair_concat_mlp,R_Amp_V5,0.058818574994802475,0.00845830449834466,1
fair_concat_mlp,R_Amp_V6,0.05185496583580971,0.009492630790919065,2
fair_concat_mlp,R_Amp_aVL,0.050998803693801165,-0.011775631457567215,3
fair_concat_mlp,R_Amp_I,0.047784626483917236,0.0020163646986475214,4
fair_concat_mlp,T_Amp_V2,0.04722678288817406,-0.003978344053030014,5
fair_concat_mlp,R_Amp_V4,0.04522769711911678,0.004428728483617306,6
fair_concat_mlp,P_Morph_V2_iqr,0.044016008265316486,-0.008629750926047564,7
fair_concat_mlp,P_Amp_aVL_iqr,0.04362734034657478,-0.0033485665917396545,8
fair_concat_mlp,R_Amp_V1,0.04314781973759333,-0.005642290847996871,9
fair_concat_mlp,S_Amp_V5,0.04257314279675484,0.0048354207538068295,10
fair_concat_mlp,P_Amp_II,0.042034924030303955,0.009020830504596233,11
fair_concat_mlp,P_Amp_aVF,0.039899421855807304,0.0018417704850435257,12
fair_concat_mlp,P_Amp_III_iqr,0.03820144385099411,-0.033821556717157364,13
fair_concat_mlp,QRS_Dur_V4_iqr,0.03769687935709953,0.009377794340252876,14
fair_concat_mlp,QRS_Dur_V1,0.037134469486773014,-0.0015659368364140391,15
fair_concat_mlp,S_Amp_III,0.036708221212029456,0.013475893810391427,16
fair_concat_mlp,P_DurFull_V3_iqr,0.0357849751599133,-0.001158546336228028,17
fair_concat_mlp,T_Amp_aVR,0.035674710758030415,0.0024854436051100492,18
fair_concat_mlp,QRS_Dur_Global_iqr,0.0348464036360383,0.0040007977513596416,19
fair_concat_mlp,QRS_Dur_III_iqr,0.03450379520654678,-0.0018782345578074455,20
fair_concat_mlp,T_Amp_aVF_iqr,0.03430507952968279,0.010518285756309828,21
fair_concat_mlp,QT_IntCorr_V2,0.034217264503240585,0.0013227785238996148,22
fair_concat_mlp,P_Amp_II_iqr,0.03402436152100563,-0.028059260919690132,23
fair_concat_mlp,QT_Int_V5_iqr,0.033336808905005455,-0.004967822227627039,24
fair_concat_mlp,Q_Amp_V3,0.03312954306602478,-0.005495840683579445,25
fair_concat_mlp,ST_Elev_V5_iqr,0.03253631666302681,0.011104623787105083,26
fair_concat_mlp,P_Morph_III_iqr,0.0324917808175087,0.0008894060738384724,27
fair_concat_mlp,PQ_Int_aVF,0.03249139478430152,0.007557464763522148,28
fair_concat_mlp,ST_Elev_V1,0.03243069816380739,-0.02323427703231573,29
fair_concat_mlp,T_DurFull_aVL_iqr,0.032185900025069714,-0.0016359775327146053,30
fair_concat_mlp,P_Morph_V2,0.03191768750548363,0.015212968923151493,31
