model_name,probability_mode,uncertainty_score,coverage,retained_fraction,referred_fraction,retained_macro_auroc,retained_macro_f1,retained_brier,retained_ece,interpretation
strong_signal_only,temperature_scaled,entropy_macro,1.0,1.0,0.0,0.9098145514801864,0.7102072525783615,0.09026577838993696,0.03198421054005558,"At 100% coverage, the model retains the 100% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 0% for clinician review."
strong_signal_only,temperature_scaled,entropy_macro,0.9,0.9017288444040037,0.09827115559599636,0.9171731619561271,0.7256501461980835,0.08228458325583457,0.029149938211713345,"At 90% coverage, the model retains the 90% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 10% for clinician review."
strong_signal_only,temperature_scaled,entropy_macro,0.8,0.7989080982711556,0.2010919017288444,0.9237220935255468,0.7419589860586825,0.07353397889725788,0.025552865394451847,"At 80% coverage, the model retains the 80% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 20% for clinician review."
strong_signal_only,temperature_scaled,entropy_macro,0.7,0.6897179253867152,0.31028207461328483,0.9286957803672653,0.7535471277150417,0.06464739761697993,0.020285748538878427,"At 70% coverage, the model retains the 70% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 30% for clinician review."
strong_signal_only,temperature_scaled,entropy_macro,0.6,0.5923566878980892,0.40764331210191085,0.9331760910437227,0.7634620593733036,0.056915558779804476,0.018591798797588183,"At 60% coverage, the model retains the 60% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 40% for clinician review."
strong_signal_only,temperature_scaled,entropy_macro,0.5,0.48089171974522293,0.5191082802547771,0.9334982043818112,0.7711326602293113,0.04862046579693561,0.017953507996821702,"At 50% coverage, the model retains the 50% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 50% for clinician review."
fair_concat_mlp,temperature_scaled,entropy_macro,1.0,1.0,0.0,0.9192507455884117,0.7240411972108871,0.08635550125585137,0.02828426518031766,"At 100% coverage, the model retains the 100% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 0% for clinician review."
fair_concat_mlp,temperature_scaled,entropy_macro,0.9,0.9035486806187443,0.09645131938125569,0.9256704588159315,0.744448517900542,0.07810765536537341,0.026190104247719347,"At 90% coverage, the model retains the 90% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 10% for clinician review."
fair_concat_mlp,temperature_scaled,entropy_macro,0.8,0.7989080982711556,0.2010919017288444,0.9315311002982101,0.7574694389668032,0.06977547352486753,0.02249781238053212,"At 80% coverage, the model retains the 80% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 20% for clinician review."
fair_concat_mlp,temperature_scaled,entropy_macro,0.7,0.7033666969972703,0.2966333030027298,0.9360675725221943,0.7633344907113542,0.06337520896449171,0.02134044064511405,"At 70% coverage, the model retains the 70% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 30% for clinician review."
fair_concat_mlp,temperature_scaled,entropy_macro,0.6,0.5850773430391265,0.41492265696087355,0.9369187304943027,0.7682432966153497,0.05298296059602786,0.018160304582063504,"At 60% coverage, the model retains the 60% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 40% for clinician review."
fair_concat_mlp,temperature_scaled,entropy_macro,0.5,0.48999090081892627,0.5100090991810737,0.9336835694905579,0.7765486800144811,0.04540890524946632,0.016653690208217057,"At 50% coverage, the model retains the 50% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 50% for clinician review."
gated_fusion_mlp,temperature_scaled,entropy_macro,1.0,1.0,0.0,0.9195696937646385,0.7313783251237391,0.08442060143764434,0.0192763995788093,"At 100% coverage, the model retains the 100% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 0% for clinician review."
gated_fusion_mlp,temperature_scaled,entropy_macro,0.9,0.9008189262966333,0.09918107370336669,0.9257936777470327,0.7504490796590744,0.07578296789933188,0.01654060268407819,"At 90% coverage, the model retains the 90% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 10% for clinician review."
gated_fusion_mlp,temperature_scaled,entropy_macro,0.8,0.7993630573248407,0.20063694267515925,0.9302500731581231,0.7596679384162239,0.06867792836196229,0.016063946073456497,"At 80% coverage, the model retains the 80% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 20% for clinician review."
gated_fusion_mlp,temperature_scaled,entropy_macro,0.7,0.6960873521383075,0.3039126478616925,0.9357660282372853,0.774960845133146,0.06000958766006215,0.016025388911737905,"At 70% coverage, the model retains the 70% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 30% for clinician review."
gated_fusion_mlp,temperature_scaled,entropy_macro,0.6,0.5896269335759782,0.4103730664240218,0.9369107000708468,0.7878868958873573,0.05243829334817589,0.014550913720613696,"At 60% coverage, the model retains the 60% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 40% for clinician review."
gated_fusion_mlp,temperature_scaled,entropy_macro,0.5,0.49545040946314833,0.5045495905368517,0.9383614843612884,0.8027717298168247,0.04342435347011164,0.012866516786935659,"At 50% coverage, the model retains the 50% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 50% for clinician review."
