split,metric,estimate,ci_lower,ci_upper,n_bootstrap
val,auroc,0.9226791643987469,0.9146626217562848,0.930078481348853,1000
val,average_precision,0.7962194988178002,0.7787434278322314,0.8152908173118815,1000
val,f1,0.729732129283043,0.7128251125287672,0.7459888224926517,1000
test,auroc,0.9192507455884117,0.9117973837756023,0.9263951358027978,1000
test,average_precision,0.7952891946259257,0.7778996270361193,0.8123292304637629,1000
test,f1,0.7207618723642264,0.7042969745813309,0.7370489992642313,1000
