model,split,threshold_mode,auroc,average_precision,f1,micro_f1,positive_count
structured_mlp,val,default_0.5,0.9084983378123198,0.7652104882560083,0.6883193809424928,0.7360178970917226,2786
structured_mlp,test,default_0.5,0.904558478266399,0.7651519782366677,0.6898926599155943,0.7363907531692767,2792
structured_mlp,val,validation_tuned,0.9084983378123198,0.7652104882560083,0.7190567547399522,0.7491106217177707,2786
structured_mlp,test,validation_tuned,0.904558478266399,0.7651519782366677,0.7077084541626286,0.7424421550413781,2792
