ablation_model,split,threshold_mode,n_seeds,auroc_mean,auroc_std,average_precision_mean,average_precision_std,f1_mean,f1_std
signal_embedding_mlp,test,default_0.5,3,0.9092609812035036,0.0002824090381625924,0.7719276879720812,0.0005338368605619972,0.6997995845334778,0.002070356917953233
signal_embedding_mlp,val,default_0.5,3,0.9124798203968165,0.00021790133640561102,0.7767945681421082,0.0009564674447672184,0.7011680845309773,0.0014446205356228895
structured_mlp,test,default_0.5,3,0.9057945184008037,0.0010837264872381256,0.768554854930882,0.0029858817505935263,0.6891957432040181,0.001282553015182461
structured_mlp,val,default_0.5,3,0.9086252191378525,0.0006904823337003216,0.7654181132484851,0.004363316211334651,0.6843600203352384,0.010801942218272383
