split,threshold_mode,n_seeds,auroc_mean,auroc_std,average_precision_mean,average_precision_std,f1_mean,f1_std
test,default_0.5,3,0.9189405521565254,0.000268639968440952,0.795723508448161,0.000382867889410102,0.7153977281454837,0.008096306751566468
val,default_0.5,3,0.9225766644496205,0.0004303206356908045,0.7968296634774702,0.0019357901132021746,0.7228656023591179,0.009913815969544834
