model_name,probability_mode,split,label,threshold,prevalence,tp,fp,tn,fn,net_benefit,treat_all_net_benefit,treat_none_net_benefit,net_benefit_vs_treat_all,net_benefit_vs_treat_none,reason
strong_signal_only,temperature_scaled,test,NORM,0.01,0.4381255686988171,962,791,444,1,0.4340355327616474,0.43245006939274455,0.0,0.0015854633689028619,0.4340355327616474,
strong_signal_only,temperature_scaled,test,NORM,0.02,0.4381255686988171,960,685,550,3,0.4304005496648159,0.4266587435702215,0.0,0.003741806094594402,0.4304005496648159,
strong_signal_only,temperature_scaled,test,NORM,0.03,0.4381255686988171,960,625,610,3,0.4279663799330225,0.42074800896785264,0.0,0.007218370965169862,0.4279663799330225,
strong_signal_only,temperature_scaled,test,NORM,0.04,0.4381255686988171,960,587,648,3,0.42563315134971186,0.4147141340612678,0.0,0.010919017288444077,0.42563315134971186,
strong_signal_only,temperature_scaled,test,NORM,0.05,0.4381255686988171,959,547,688,4,0.423207700780614,0.40855323020928114,0.0,0.014654470571332845,0.423207700780614,
strong_signal_only,temperature_scaled,test,NORM,0.06,0.4381255686988171,958,521,714,5,0.420720964900393,0.4022612432966139,0.0,0.018459721603779122,0.420720964900393,
strong_signal_only,temperature_scaled,test,NORM,0.07,0.4381255686988171,955,495,740,8,0.41753500249493675,0.3958339448374377,0.0,0.021701057657499023,0.41753500249493675,
strong_signal_only,temperature_scaled,test,NORM,0.08,0.4381255686988171,955,478,757,8,0.41557542429876965,0.3892669224987142,0.0,0.02630850180005545,0.41557542429876965,
strong_signal_only,temperature_scaled,test,NORM,0.09,0.4381255686988171,954,460,775,9,0.4133328000479957,0.3825555699987001,0.0,0.030777230049295612,0.4133328000479957,
strong_signal_only,temperature_scaled,test,NORM,0.1,0.4381255686988171,952,449,786,11,0.4104236174299869,0.375695076332019,0.0,0.03472854109796791,0.4104236174299869,
strong_signal_only,temperature_scaled,test,NORM,0.11,0.4381255686988171,951,445,790,12,0.4076433121019108,0.3686804142683338,0.0,0.03896289783357698,0.4076433121019108,
strong_signal_only,temperature_scaled,test,NORM,0.12,0.4381255686988171,949,434,801,14,0.40483083795185704,0.3615063280668376,0.0,0.04332450988501946,0.40483083795185704,
strong_signal_only,temperature_scaled,test,NORM,0.13,0.4381255686988171,946,418,817,17,0.4019746268812818,0.3541673203434679,0.0,0.047807306537813954,0.4019746268812818,
strong_signal_only,temperature_scaled,test,NORM,0.14,0.4381255686988171,946,412,823,17,0.3998772668599361,0.3466576380218803,0.0,0.053219628838055755,0.3998772668599361,
strong_signal_only,temperature_scaled,test,NORM,0.15,0.4381255686988171,946,402,833,17,0.39811593427179787,0.338971257292726,0.0,0.059144676979071886,0.39811593427179787,
strong_signal_only,temperature_scaled,test,NORM,0.16,0.4381255686988171,945,396,839,18,0.3956193942545171,0.3311018674985917,0.0,0.06451752675592537,0.3956193942545171,
strong_signal_only,temperature_scaled,test,NORM,0.17,0.4381255686988171,943,384,851,20,0.3932435839810562,0.32304285385399645,0.0,0.07020073012705974,0.3932435839810562,
strong_signal_only,temperature_scaled,test,NORM,0.18,0.4381255686988171,943,377,858,20,0.39137575179209483,0.31478727890099645,0.0,0.07658847289109838,0.39137575179209483,
strong_signal_only,temperature_scaled,test,NORM,0.19,0.4381255686988171,938,374,861,25,0.3868387647580854,0.3063278625911322,0.0,0.08051090216695317,0.3868387647580854,
strong_signal_only,temperature_scaled,test,NORM,0.2,0.4381255686988171,935,364,871,28,0.38398544131028206,0.29765696087352134,0.0,0.08632848043676072,0.38398544131028206,
strong_signal_only,temperature_scaled,test,NORM,0.21,0.4381255686988171,932,352,883,31,0.38145149215051655,0.2887665426567305,0.0,0.09268494949378603,0.38145149215051655,
strong_signal_only,temperature_scaled,test,NORM,0.22,0.4381255686988171,931,343,892,32,0.379552506941042,0.27964816499848344,0.0,0.09990434194255854,0.379552506941042,
strong_signal_only,temperature_scaled,test,NORM,0.23,0.4381255686988171,928,337,898,35,0.3764047599352422,0.2702929463621001,0.0,0.10611181357314209,0.3764047599352422,
strong_signal_only,temperature_scaled,test,NORM,0.24,0.4381255686988171,927,326,909,36,0.3749102054499306,0.2606915377616014,0.0,0.11421866768832917,0.3749102054499306,
strong_signal_only,temperature_scaled,test,NORM,0.25,0.4381255686988171,925,321,914,38,0.3721565059144677,0.25083409159842274,0.0,0.12132241431604496,0.3721565059144677,
strong_signal_only,temperature_scaled,test,NORM,0.26,0.4381255686988171,924,310,925,39,0.3708285173253326,0.2407102279713744,0.0,0.13011828935395822,0.3708285173253326,
