model,split,threshold_mode,auroc,average_precision,f1,micro_f1,positive_count
stage14l_signal_embedding_mlp,val,default_0.5,0.9119936725777146,0.776099404616206,0.6940101819372613,0.7569988801791714,2786
stage14l_signal_embedding_mlp,test,default_0.5,0.9094108605268953,0.7722004486218713,0.6980867420939594,0.7579298831385642,2792
stage14l_signal_embedding_mlp,val,validation_tuned,0.9119936725777146,0.776099404616206,0.7230777161800114,0.7685649991344988,2786
stage14l_signal_embedding_mlp,test,validation_tuned,0.9094108605268953,0.7722004486218713,0.7123490635689166,0.7578729994837378,2792
