epoch,train_loss,val_macro_auroc,val_macro_f1
1,0.24825605151862123,0.9088683902007373,0.6902049679322984
2,0.22370206189416622,0.911107142106992,0.6960455457822914
3,0.22095121399764597,0.9109773492181024,0.700485999666587
4,0.22039348332986344,0.9111342707105363,0.7096503576632347
5,0.21893968384196288,0.9110004505471798,0.6949148808339243
6,0.21664164296902008,0.9098211989648263,0.7035512319317965
7,0.21664880292258992,0.9106201198233483,0.6871080218984666
8,0.2158050551249163,0.9113155006439794,0.691195336546176
9,0.21591859631729823,0.9117297515016956,0.7031910859036545
10,0.21634677030744343,0.9106737616425583,0.7018366644045395
11,0.21497617096361452,0.9119754033755904,0.698519513135801
12,0.21513097608176462,0.9112423223199659,0.7047151747952913
13,0.21524545343687934,0.9119122720903988,0.7009993660805981
14,0.21428825222227696,0.9119762240921482,0.6991264318671296
15,0.21361543238162994,0.9109545033903753,0.6972510261851406
16,0.21344001069121118,0.9112138893823802,0.7006526740359927
17,0.2125837947547871,0.9129894258788797,0.6867914842480689
18,0.21291986651664233,0.9120145479433173,0.7008201090414264
19,0.2125043122872819,0.9108868829202578,0.7000097121018187
20,0.2122296402706717,0.9112701575757404,0.6989689556455654
21,0.21250171480822738,0.9122242254149084,0.6940338279639053
22,0.21311032956969128,0.9114340064373676,0.6923370489503526
23,0.2123025985312288,0.9128181369027164,0.693911300300912
24,0.21109669486971666,0.911361168857413,0.6951479305677911
25,0.2129102836560159,0.9109488858322077,0.7074354222400505
