model,split,threshold_mode,auroc,average_precision,f1,micro_f1,positive_count
stage14l_fair_concat_mlp,val,default_0.5,0.9129894258788797,0.7782599040935113,0.6867914842480689,0.7542087542087542,2786
stage14l_fair_concat_mlp,test,default_0.5,0.9096655689447324,0.7730997819573394,0.6938211645939891,0.7547239718414227,2792
stage14l_fair_concat_mlp,val,validation_tuned,0.9129894258788797,0.7782599040935113,0.7250787277095684,0.7686247645144717,2786
stage14l_fair_concat_mlp,test,validation_tuned,0.9096655689447324,0.7730997819573394,0.7145011116774924,0.7581004628835933,2792
