model_name,probability_mode,split,threshold,macro_net_benefit,macro_treat_all_net_benefit,macro_treat_none_net_benefit,macro_net_benefit_vs_treat_all,macro_net_benefit_vs_treat_none,analysis_subset
fair_concat_mlp,temperature_scaled,test,0.01,0.23730010814293273,0.23621177607510183,0.0,0.001088332067830916,0.23730010814293273,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.02,0.2320208265538562,0.22841801868811307,0.0,0.0036028078657431182,0.2320208265538562,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.03,0.227954817650236,0.22046356527252658,0.0,0.007491252377709404,0.227954817650236,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.04,0.22510440394836753,0.21234339407744876,0.0,0.012761009870918771,0.22510440394836753,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.05,0.2221915837429565,0.20405227190984293,0.0,0.018139311833113552,0.2221915837429565,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.06,0.21919255561479184,0.19558474288760724,0.0,0.023607812727184617,0.21919255561479184,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.07,0.21666911602615918,0.18693511646704386,0.0,0.029733999559115303,0.21666911602615918,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.08,0.2140982470040606,0.1780974546895117,0.0,0.03600079231454889,0.2140982470040606,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.09,0.21199779719141904,0.16906555858719868,0.0,0.04293223860422038,0.21199779719141904,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.1,0.2102379144520375,0.159832953682612,0.0,0.05040496076942548,0.2102379144520375,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.11,0.20857669371144838,0.1503928745105065,0.0,0.058183819200941886,0.20857669371144838,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.12,0.20636260095257816,0.14073824808448956,0.0,0.06562435286808863,0.20636260095257816,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.13,0.20438562040164426,0.1308616762233917,0.0,0.07352394417825257,0.20438562040164426,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.14,0.2025242358425597,0.12075541664459395,0.0,0.08176881919796579,0.2025242358425597,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.15,0.20051587833310996,0.11041136272276564,0.0,0.09010451561034435,0.20051587833310996,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.16,0.19910510901399284,0.09982102180279856,0.0,0.09928408721119428,0.19910510901399284,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.17,0.19641984795674725,0.08897549194500094,0.0,0.10744435601174632,0.19641984795674725,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.18,0.19466637035390857,0.0778654369687205,0.0,0.11680093338518804,0.19466637035390857,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.19,0.19313535251272534,0.06648105964734667,0.0,0.12665429286537866,0.19313535251272534,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.2,0.19182801822323464,0.05481207289293849,0.0,0.13701594533029615,0.19182801822323464,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.21,0.1903390905683227,0.04284766875234279,0.0,0.1474914218159799,0.1903390905683227,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.22,0.18912446702879507,0.030576485018398453,0.0,0.1585479820103966,0.18912446702879507,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.23,0.18793894033073988,0.017986569239416626,0.0,0.16995237109132325,0.18793894033073988,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.24,0.18675818247212567,0.005065339887303688,0.0,0.18169284258482196,0.18675818247212567,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.25,0.18572513287775244,-0.008200455580865596,0.0,0.19392558845861804,0.18572513287775244,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.26,0.1846641630240719,-0.02182478606168814,0.0,0.20648894908576004,0.1846641630240719,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.27,0.18352887945829563,-0.03582238587075236,0.0,0.21935126532904797,0.18352887945829563,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.28,0.18236522399392557,-0.05020880789673506,0.0,0.23257403189066067,0.18236522399392557,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.29,0.1813211845102506,-0.06500048124739327,0.0,0.24632166575764386,0.1813211845102506,retained_80_coverage
fair_concat_mlp,temperature_scaled,test,0.3,0.18006833712984055,-0.08021477383664176,0.0,0.2602831109664823,0.18006833712984055,retained_80_coverage
