model_name,probability_mode,split,threshold,macro_net_benefit,macro_treat_all_net_benefit,macro_treat_none_net_benefit,macro_net_benefit_vs_treat_all,macro_net_benefit_vs_treat_none
fair_concat_mlp,temperature_scaled,test,0.01,0.2474159244859882,0.24651427836141213,0.0,0.0009016461245760666,0.2474159244859882
fair_concat_mlp,temperature_scaled,test,0.02,0.24179309576423838,0.23882564854877347,0.0,0.0029674472154649053,0.24179309576423838
fair_concat_mlp,temperature_scaled,test,0.03,0.2371856326745026,0.23097849028638967,0.0,0.006207142388112921,0.2371856326745026
fair_concat_mlp,temperature_scaled,test,0.04,0.23360251744009702,0.22296784956020624,0.0,0.010634667879890817,0.23360251744009702
fair_concat_mlp,temperature_scaled,test,0.05,0.2299698290311767,0.21478856376610317,0.0,0.015181265265073527,0.2299698290311767
fair_concat_mlp,temperature_scaled,test,0.06,0.22641860104930983,0.2064352506146787,0.0,0.019983350434631113,0.22641860104930983
fair_concat_mlp,temperature_scaled,test,0.07,0.2232890115158453,0.1979022963202129,0.0,0.025386715195632403,0.2232890115158453
fair_concat_mlp,temperature_scaled,test,0.08,0.21983225857498914,0.18918384301934565,0.0,0.03064841555564347,0.21983225857498914
fair_concat_mlp,temperature_scaled,test,0.09,0.21707046365827076,0.18027377536021758,0.0,0.03679668829805318,0.21707046365827076
fair_concat_mlp,temperature_scaled,test,0.1,0.21460924072389037,0.1711657061975533,0.0,0.04344353452633708,0.21460924072389037
fair_concat_mlp,temperature_scaled,test,0.11,0.21231252108658535,0.16185296132336854,0.0,0.050459559763216824,0.21231252108658535
fair_concat_mlp,temperature_scaled,test,0.12,0.20962445198113988,0.15232856315658863,0.0,0.05729588882455126,0.20962445198113988
fair_concat_mlp,temperature_scaled,test,0.13,0.2072458766067376,0.14258521330781376,0.0,0.06466066329892381,0.2072458766067376
fair_concat_mlp,temperature_scaled,test,0.14,0.20461307319550545,0.13261527392767208,0.0,0.07199779926783337,0.20461307319550545
fair_concat_mlp,temperature_scaled,test,0.15,0.20230691002515658,0.12241074773858587,0.0,0.07989616228657069,0.20230691002515658
fair_concat_mlp,temperature_scaled,test,0.16,0.20047662377052733,0.11196325664023568,0.0,0.08851336713029162,0.20047662377052733
fair_concat_mlp,temperature_scaled,test,0.17,0.1974884067662826,0.1012640187684313,0.0,0.0962243879978513,0.1974884067662826
fair_concat_mlp,temperature_scaled,test,0.18,0.1951064160323132,0.09030382387536343,0.0,0.10480259215694976,0.1951064160323132
fair_concat_mlp,temperature_scaled,test,0.19,0.19286781473617992,0.07907300688617037,0.0,0.11379480785000955,0.19286781473617992
fair_concat_mlp,temperature_scaled,test,0.2,0.1908098271155596,0.06756141947224749,0.0,0.1232484076433121,0.1908098271155596
fair_concat_mlp,temperature_scaled,test,0.21,0.18858571083032907,0.05575839946556711,0.0,0.13282731136476195,0.18858571083032907
fair_concat_mlp,temperature_scaled,test,0.22,0.18692051048738947,0.04365273792025384,0.0,0.14326777256713563,0.18692051048738947
fair_concat_mlp,temperature_scaled,test,0.23,0.18489063257034138,0.031232643607529875,0.0,0.15365798896281152,0.18489063257034138
fair_concat_mlp,temperature_scaled,test,0.24,0.18328624108040803,0.018485704707628947,0.0,0.16480053637277908,0.18328624108040803
fair_concat_mlp,temperature_scaled,test,0.25,0.18177130724901427,0.005398847437063986,0.0,0.17637245981195027,0.18177130724901427
fair_concat_mlp,temperature_scaled,test,0.26,0.17982441039765878,-0.008041708678651383,0.0,0.18786611907631018,0.17982441039765878
fair_concat_mlp,temperature_scaled,test,0.27,0.17820933102322162,-0.02185049920849593,0.0,0.20005983023171753,0.17820933102322162
fair_concat_mlp,temperature_scaled,test,0.28,0.17656455363461732,-0.0360428672530584,0.0,0.21260742088767573,0.17656455363461732
