model_name,probability_mode,coverage,uncertainty_score,referred_n,referral_fraction,mean_predicted_labels_per_record,mean_entropy,mean_margin_uncertainty,error_rate_if_available,NORM_prevalence,MI_prevalence,STTC_prevalence,CD_prevalence,HYP_prevalence
strong_signal_only,raw,1.0,entropy_macro,0,0.0,,,,,,,,,
strong_signal_only,raw,0.9,entropy_macro,210,0.0955414012738853,1.8666666666666667,0.4789477832280215,-0.0690045299047619,0.8,0.1476190476190476,0.4666666666666667,0.3904761904761905,0.219047619047619,0.219047619047619
strong_signal_only,raw,0.8,entropy_macro,446,0.202911737943585,1.8206278026905829,0.4392692042127044,-0.0831062342376681,0.7511210762331838,0.2197309417040358,0.4125560538116592,0.3565022421524663,0.2511210762331838,0.1973094170403587
strong_signal_only,raw,0.7,entropy_macro,683,0.31073703366697,1.7759882869692534,0.4101409717803046,-0.0915201125431918,0.7159590043923866,0.2357247437774524,0.4070278184480234,0.3484626647144949,0.260614934114202,0.1800878477306003
strong_signal_only,raw,0.6,entropy_macro,907,0.4126478616924476,1.7166482910694598,0.3870379150700336,-0.101709905609151,0.681367144432194,0.2646085997794928,0.3803748621830209,0.330760749724366,0.2568908489525909,0.1664829106945975
strong_signal_only,raw,0.5,entropy_macro,1141,0.5191082802547771,1.6713409290096406,0.3645644829746368,-0.1123334808676599,0.635407537248028,0.2751971954425942,0.3645924627519719,0.3190184049079754,0.2751971954425942,0.1673970201577563
strong_signal_only,raw,1.0,entropy_max,0,0.0,,,,,,,,,
strong_signal_only,raw,0.9,entropy_max,214,0.097361237488626,2.0934579439252334,0.3899173409497672,-0.0836972913551401,0.7990654205607477,0.219626168224299,0.4065420560747663,0.3364485981308411,0.3037383177570093,0.1448598130841121
strong_signal_only,raw,0.8,entropy_max,448,0.2038216560509554,1.9933035714285712,0.3882672615015115,-0.0841520468973214,0.7857142857142857,0.2477678571428571,0.3861607142857143,0.3214285714285714,0.296875,0.1540178571428571
strong_signal_only,raw,0.7,entropy_max,665,0.3025477707006369,1.9533834586466168,0.3790287550508532,-0.0856028292,0.7789473684210526,0.2390977443609022,0.3729323308270676,0.3338345864661654,0.2962406015037594,0.1684210526315789
