model_name,label,feature_name,feature_group,mean_abs_attribution,rank
structured_mlp,NORM,R_Amp_II,amplitude,0.2357494831085205,1
structured_mlp,NORM,T_Amp_aVR,amplitude,0.2008776813745498,2
structured_mlp,NORM,R_Amp_III,amplitude,0.1908756047487259,3
structured_mlp,NORM,R_Amp_aVL,amplitude,0.1744788438081741,4
structured_mlp,NORM,PQ_Int_V1,interval,0.1666364222764969,5
structured_mlp,NORM,R_Amp_V5,amplitude,0.1583582311868667,6
structured_mlp,NORM,R_Amp_aVF,amplitude,0.1545325517654419,7
structured_mlp,NORM,T_DurFull_V2,duration,0.1510014235973358,8
structured_mlp,NORM,PQ_Int_III,interval,0.1473668664693832,9
structured_mlp,NORM,PQ_Int_II,interval,0.1393888443708419,10
structured_mlp,NORM,PR_Int_V1,interval,0.1385643631219864,11
structured_mlp,NORM,Q_Amp_V2,amplitude,0.134832888841629,12
structured_mlp,NORM,Q_Amp_aVF,amplitude,0.1335438936948776,13
structured_mlp,NORM,T_DurFull_aVR,duration,0.1333963871002197,14
structured_mlp,NORM,QRS_Dur_I,duration,0.1325435936450958,15
structured_mlp,NORM,Q_Amp_V3,amplitude,0.129189983010292,16
structured_mlp,NORM,R_Amp_aVR,amplitude,0.127000018954277,17
structured_mlp,NORM,S_Amp_aVL_iqr,amplitude,0.1218656972050666,18
structured_mlp,NORM,T_DurFull_III,duration,0.1196087822318077,19
structured_mlp,NORM,P_Amp_aVL_iqr,amplitude,0.119217611849308,20
structured_mlp,NORM,Q_Amp_II,amplitude,0.1188061460852623,21
structured_mlp,NORM,PQ_Int_V2,interval,0.117548644542694,22
structured_mlp,NORM,PQ_Int_aVL,interval,0.1163012385368347,23
structured_mlp,NORM,P_Dur_Global,duration,0.1159116104245185,24
structured_mlp,NORM,T_Dur_Global,duration,0.1128470674157142,25
structured_mlp,NORM,QRS_Dur_V1,duration,0.1085196062922477,26
structured_mlp,NORM,S_Amp_V4_iqr,amplitude,0.1003144681453704,27
structured_mlp,NORM,PQ_Int_aVR,interval,0.0943138003349304,28
structured_mlp,NORM,S_Amp_V2,amplitude,0.0912564024329185,29
structured_mlp,NORM,R_Amp_V6,amplitude,0.0885549485683441,30
structured_mlp,NORM,Q_Amp_aVL,amplitude,0.087889440357685,31
structured_mlp,NORM,T_DurFull_V1,duration,0.0877770408987999,32
structured_mlp,NORM,T_DurFull_aVL_iqr,duration,0.0877025127410888,33
structured_mlp,NORM,S_Amp_aVF,amplitude,0.0873284637928009,34
structured_mlp,NORM,T_Amp_I_iqr,amplitude,0.0863987728953361,35
structured_mlp,NORM,QT_Int_aVF,interval,0.0839278697967529,36
structured_mlp,NORM,S_Amp_III,amplitude,0.0835108533501625,37
structured_mlp,NORM,R_Amp_V3,amplitude,0.0821997001767158,38
structured_mlp,NORM,S_Amp_V1,amplitude,0.0807771012187004,39
structured_mlp,NORM,QT_IntCorr_V2,rate / rhythm,0.0792675390839576,40
structured_mlp,NORM,PQ_Int_I,interval,0.0782390534877777,41
structured_mlp,NORM,QT_IntCorr_aVF,rate / rhythm,0.0770251005887985,42
structured_mlp,NORM,Q_Amp_V1,amplitude,0.0761149749159812,43
structured_mlp,NORM,ST_Elev_V6,lead-specific measurement,0.0755162611603736,44
structured_mlp,NORM,P_DurFull_V2,duration,0.0750106945633888,45
structured_mlp,NORM,T_DurFull_II_iqr,duration,0.0737824067473411,46
structured_mlp,NORM,QRS_Dur_V1_iqr,duration,0.0724578276276588,47
structured_mlp,NORM,PR_Int_aVR,interval,0.072075068950653,48
structured_mlp,NORM,Q_Amp_III,amplitude,0.0718890354037284,49
structured_mlp,NORM,P_DurFull_III,duration,0.0679480358958244,50
structured_mlp,MI,R_Amp_II,amplitude,0.3127261698246002,1
structured_mlp,MI,Q_Amp_V3,amplitude,0.2908770143985748,2
structured_mlp,MI,Q_Amp_V2,amplitude,0.2796033918857574,3
structured_mlp,MI,R_Amp_III,amplitude,0.2707105278968811,4
structured_mlp,MI,PQ_Int_III,interval,0.2521943747997284,5
structured_mlp,MI,PQ_Int_V1,interval,0.2501033246517181,6
structured_mlp,MI,R_Amp_aVL,amplitude,0.2492405176162719,7
structured_mlp,MI,Q_Amp_aVF,amplitude,0.2483575195074081,8
structured_mlp,MI,R_Amp_aVF,amplitude,0.2292302250862121,9
structured_mlp,MI,Q_Amp_II,amplitude,0.2122406959533691,10
structured_mlp,MI,R_Amp_aVR,amplitude,0.2081410139799118,11
structured_mlp,MI,T_DurFull_V2,duration,0.195374846458435,12
structured_mlp,MI,PQ_Int_V2,interval,0.1824142783880233,13
structured_mlp,MI,S_Amp_aVF,amplitude,0.1804479360580444,14
structured_mlp,MI,PQ_Int_aVL,interval,0.175430953502655,15
structured_mlp,MI,PQ_Int_II,interval,0.1686605811119079,16
structured_mlp,MI,Q_Amp_III,amplitude,0.1630560308694839,17
structured_mlp,MI,Q_Amp_V1,amplitude,0.1579516381025314,18
structured_mlp,MI,T_DurFull_III,duration,0.1479942202568054,19
structured_mlp,MI,R_Amp_V3,amplitude,0.1477720588445663,20
structured_mlp,MI,PR_Int_V1,interval,0.1407708078622818,21
structured_mlp,MI,T_DurFull_V1,duration,0.1267688870429992,22
structured_mlp,MI,QRS_Dur_aVF,duration,0.1185817345976829,23
structured_mlp,MI,PR_Int_aVL,interval,0.1175306960940361,24
structured_mlp,MI,P_DurFull_V2,duration,0.1132416501641273,25
structured_mlp,MI,T_DurFull_aVR,duration,0.1131111308932304,26
structured_mlp,MI,PQ_Int_I,interval,0.1116229891777038,27
structured_mlp,MI,QT_Int_aVF,interval,0.1077747121453285,28
structured_mlp,MI,T_DurFull_aVL,duration,0.1028826758265495,29
structured_mlp,MI,P_Dur_Global,duration,0.1010878384113311,30
structured_mlp,MI,T_Amp_aVR,amplitude,0.0993452593684196,31
structured_mlp,MI,PQ_Int_aVR,interval,0.0983825251460075,32
structured_mlp,MI,S_Amp_aVL_iqr,amplitude,0.0977117344737052,33
structured_mlp,MI,QT_IntCorr_aVF,rate / rhythm,0.0945171490311622,34
structured_mlp,MI,P_Amp_aVF,amplitude,0.0939111784100532,35
structured_mlp,MI,T_DurFull_V3,duration,0.0900099575519561,36
structured_mlp,MI,P_DurFull_III,duration,0.0892997607588768,37
structured_mlp,MI,QRS_Dur_Global,duration,0.0888088643550872,38
structured_mlp,MI,QRS_Dur_III,duration,0.0884854570031166,39
structured_mlp,MI,P_DurFull_aVF,duration,0.0861026048660278,40
structured_mlp,MI,Q_Amp_aVL_iqr,amplitude,0.0847266539931297,41
structured_mlp,MI,Q_Amp_aVR,amplitude,0.0843191742897033,42
structured_mlp,MI,P_Amp_III_iqr,amplitude,0.0824764147400856,43
structured_mlp,MI,QT_IntCorr_V2,rate / rhythm,0.0819241926074028,44
structured_mlp,MI,P_Morph_aVL_iqr,morphology,0.0779973939061164,45
structured_mlp,MI,T_Amp_V4,amplitude,0.0752510800957679,46
structured_mlp,MI,P_Amp_III,amplitude,0.0731292888522148,47
structured_mlp,MI,PQ_Int_Global,interval,0.073056511580944,48
structured_mlp,MI,PR_Int_aVR,interval,0.0720252990722656,49
structured_mlp,MI,T_Amp_V2,amplitude,0.0718329474329948,50
structured_mlp,STTC,T_Amp_aVR,amplitude,0.3262001574039459,1
structured_mlp,STTC,T_DurFull_aVF,duration,0.1171793639659881,2
structured_mlp,STTC,T_Amp_aVF,amplitude,0.1138447746634483,3
structured_mlp,STTC,T_Amp_I,amplitude,0.1114501282572746,4
structured_mlp,STTC,T_DurFull_V5_iqr,duration,0.1107964739203453,5
structured_mlp,STTC,T_DurFull_aVL_iqr,duration,0.1099915131926536,6
structured_mlp,STTC,R_Amp_V5,amplitude,0.099383920431137,7
structured_mlp,STTC,T_Amp_V6,amplitude,0.0987820848822593,8
structured_mlp,STTC,T_DurFull_V4_iqr,duration,0.0982249751687049,9
structured_mlp,STTC,QT_IntCorr_aVR,rate / rhythm,0.0961325243115425,10
structured_mlp,STTC,ST_Elev_V6,lead-specific measurement,0.0952734127640724,11
structured_mlp,STTC,P_Amp_aVL_iqr,amplitude,0.0920715853571891,12
structured_mlp,STTC,T_Amp_II,amplitude,0.0890511274337768,13
structured_mlp,STTC,ST_Elev_aVR,lead-specific measurement,0.0879344642162323,14
structured_mlp,STTC,R_Amp_V6,amplitude,0.0840092971920967,15
structured_mlp,STTC,PQ_Int_V3,interval,0.0831967368721962,16
structured_mlp,STTC,P_Morph_V2_iqr,morphology,0.0806184411048889,17
structured_mlp,STTC,QRS_Dur_I,duration,0.080192930996418,18
structured_mlp,STTC,S_Amp_aVL_iqr,amplitude,0.0787296518683433,19
structured_mlp,STTC,T_DurFull_aVR,duration,0.0783686116337776,20
structured_mlp,STTC,R_Amp_II,amplitude,0.0763016492128372,21
structured_mlp,STTC,T_DurFull_III,duration,0.0722170993685722,22
structured_mlp,STTC,T_Amp_I_iqr,amplitude,0.072176344692707,23
structured_mlp,STTC,QT_Int_aVR,interval,0.0719410181045532,24
structured_mlp,STTC,T_Amp_V5,amplitude,0.0703880116343498,25
structured_mlp,STTC,T_DurFull_aVL,duration,0.0696229413151741,26
structured_mlp,STTC,ST_Elev_I,lead-specific measurement,0.0683703497052192,27
structured_mlp,STTC,Q_Amp_III_iqr,amplitude,0.0665735900402069,28
structured_mlp,STTC,Q_Amp_V4,amplitude,0.0659313723444938,29
structured_mlp,STTC,ST_Elev_V5,lead-specific measurement,0.0657297745347023,30
structured_mlp,STTC,T_DurFull_V2,duration,0.0647305101156234,31
structured_mlp,STTC,Q_Amp_aVR,amplitude,0.0643380880355835,32
structured_mlp,STTC,T_Dur_Global,duration,0.0641291216015815,33
structured_mlp,STTC,P_DurFull_aVR,duration,0.0640604868531227,34
structured_mlp,STTC,P_DurFull_V5_iqr,duration,0.0629015192389488,35
structured_mlp,STTC,T_DurFull_II,duration,0.0621444694697856,36
structured_mlp,STTC,QT_Int_V6_iqr,interval,0.0611709356307983,37
structured_mlp,STTC,PQ_Int_II,interval,0.0603903532028198,38
structured_mlp,STTC,QT_Int_III_iqr,interval,0.0594740025699138,39
structured_mlp,STTC,P_DurFull_V2,duration,0.058911208063364,40
structured_mlp,STTC,P_Amp_V3,amplitude,0.058843720704317,41
structured_mlp,STTC,P_Morph_III_iqr,morphology,0.0586394369602203,42
structured_mlp,STTC,T_DurFull_III_iqr,duration,0.0577033273875713,43
structured_mlp,STTC,T_DurFull_V5,duration,0.057169422507286,44
structured_mlp,STTC,PQ_Int_III,interval,0.0560920722782611,45
structured_mlp,STTC,R_Amp_aVL,amplitude,0.0558500997722148,46
structured_mlp,STTC,T_DurFull_V1,duration,0.0542380101978778,47
structured_mlp,STTC,R_Amp_III,amplitude,0.054077673703432,48
structured_mlp,STTC,R_Amp_aVF,amplitude,0.0536834895610809,49
structured_mlp,STTC,QRS_Dur_V1_iqr,duration,0.0534685067832469,50
structured_mlp,CD,R_Amp_II,amplitude,0.3257686793804168,1
structured_mlp,CD,QRS_Dur_V1,duration,0.290120393037796,2
structured_mlp,CD,QRS_Dur_I,duration,0.2694328129291534,3
structured_mlp,CD,S_Amp_V1,amplitude,0.219742476940155,4
structured_mlp,CD,QRS_Dur_II,duration,0.2159270793199539,5
structured_mlp,CD,S_Amp_aVR,amplitude,0.1962907314300537,6
structured_mlp,CD,R_Amp_V1,amplitude,0.1825907975435257,7
structured_mlp,CD,QRS_Dur_V1_iqr,duration,0.1801937669515609,8
