model_name,probability_mode,uncertainty_score,coverage,retained_fraction,referred_fraction,retained_macro_auroc,retained_macro_f1,retained_brier,retained_ece,interpretation,metric,metric_estimate,ci_lower,ci_upper,split,cutoff_source,referral_fraction
strong_signal_only,temperature_scaled,entropy_macro,1.0,1.0,0.0,0.9098145514801864,0.7102072525783615,0.0902657783899369,0.0319842105400555,"At 100% coverage, the model retains the 100% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 0% for clinician review.",retained_macro_auroc,0.9098145514801864,0.9017167667831164,0.917312920137186,test,validation,0.0
strong_signal_only,temperature_scaled,entropy_macro,1.0,1.0,0.0,0.9098145514801864,0.7102072525783615,0.0902657783899369,0.0319842105400555,"At 100% coverage, the model retains the 100% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 0% for clinician review.",retained_macro_f1,0.7102072525783615,0.693677647545188,0.7255797751697889,test,validation,0.0
strong_signal_only,temperature_scaled,entropy_macro,1.0,1.0,0.0,0.9098145514801864,0.7102072525783615,0.0902657783899369,0.0319842105400555,"At 100% coverage, the model retains the 100% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 0% for clinician review.",retained_brier,0.0902657783899369,0.0862379281606599,0.0949258792682645,test,validation,0.0
strong_signal_only,temperature_scaled,entropy_macro,1.0,1.0,0.0,0.9098145514801864,0.7102072525783615,0.0902657783899369,0.0319842105400555,"At 100% coverage, the model retains the 100% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 0% for clinician review.",retained_ece,0.0319842105400555,0.0305433403656292,0.040286237117876,test,validation,0.0
strong_signal_only,temperature_scaled,entropy_macro,0.9,0.9017288444040036,0.0982711555959963,0.9171731619561272,0.7256501461980835,0.0822845832558345,0.0291499382117133,"At 90% coverage, the model retains the 90% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 10% for clinician review.",retained_macro_auroc,0.9171731619561272,0.9086349555317272,0.9247313334317124,test,validation,0.0982711555959963
strong_signal_only,temperature_scaled,entropy_macro,0.9,0.9017288444040036,0.0982711555959963,0.9171731619561272,0.7256501461980835,0.0822845832558345,0.0291499382117133,"At 90% coverage, the model retains the 90% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 10% for clinician review.",retained_macro_f1,0.7256501461980835,0.707569015906453,0.7406065157753673,test,validation,0.0982711555959963
strong_signal_only,temperature_scaled,entropy_macro,0.9,0.9017288444040036,0.0982711555959963,0.9171731619561272,0.7256501461980835,0.0822845832558345,0.0291499382117133,"At 90% coverage, the model retains the 90% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 10% for clinician review.",retained_brier,0.0822845832558345,0.0781457660404162,0.087015808108757,test,validation,0.0982711555959963
strong_signal_only,temperature_scaled,entropy_macro,0.9,0.9017288444040036,0.0982711555959963,0.9171731619561272,0.7256501461980835,0.0822845832558345,0.0291499382117133,"At 90% coverage, the model retains the 90% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 10% for clinician review.",retained_ece,0.0291499382117133,0.027995153540188,0.0377761590619252,test,validation,0.0982711555959963
strong_signal_only,temperature_scaled,entropy_macro,0.8,0.7989080982711556,0.2010919017288444,0.9237220935255468,0.7419589860586825,0.0735339788972578,0.0255528653944518,"At 80% coverage, the model retains the 80% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 20% for clinician review.",retained_macro_auroc,0.9237220935255468,0.915090628572608,0.9325767970641722,test,validation,0.2010919017288444
strong_signal_only,temperature_scaled,entropy_macro,0.8,0.7989080982711556,0.2010919017288444,0.9237220935255468,0.7419589860586825,0.0735339788972578,0.0255528653944518,"At 80% coverage, the model retains the 80% lowest-uncertainty ECGs for higher-confidence decision support and refers the remaining 20% for clinician review.",retained_macro_f1,0.7419589860586825,0.72449754830303,0.7588813335033232,test,validation,0.2010919017288444
