model_name,split,calibration_mode,metric,estimate,ci_lower,ci_upper,delta_vs_raw,notes
strong_signal_only,val,raw,macro_brier,0.0901736633806191,0.0867211706097527,0.0960558914682338,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
strong_signal_only,val,raw,macro_ece,0.0368310787449351,0.0344112007511938,0.0453503051554898,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
strong_signal_only,val,raw,macro_mce,0.1899721601566626,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
strong_signal_only,test,raw,macro_brier,0.0910461313137758,0.0867211706097527,0.0960558914682338,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
strong_signal_only,test,raw,macro_ece,0.0370043939492198,0.0344112007511938,0.0453503051554898,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
strong_signal_only,test,raw,macro_mce,0.1908028750354145,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
signal_embedding_mlp,val,raw,macro_brier,0.0875637468221463,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
signal_embedding_mlp,val,raw,macro_ece,0.0341705060917189,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
signal_embedding_mlp,val,raw,macro_mce,0.1503518183054394,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
signal_embedding_mlp,test,raw,macro_brier,0.0895717952382133,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
signal_embedding_mlp,test,raw,macro_ece,0.0380583116224587,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
signal_embedding_mlp,test,raw,macro_mce,0.1576678802247758,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
structured_mlp,val,raw,macro_brier,0.0939383052110911,0.0901651880156616,0.0986462927105213,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
structured_mlp,val,raw,macro_ece,0.0205110544673702,0.0254624957399499,0.035422585838068,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
structured_mlp,val,raw,macro_mce,0.1183484693181589,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
structured_mlp,test,raw,macro_brier,0.0943921572026524,0.0901651880156616,0.0986462927105213,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
structured_mlp,test,raw,macro_ece,0.0262580427645178,0.0254624957399499,0.035422585838068,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
structured_mlp,test,raw,macro_mce,0.147482392659475,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
fair_concat_mlp,val,raw,macro_brier,0.0859411192281045,0.0831413996612554,0.0927190606175397,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
fair_concat_mlp,val,raw,macro_ece,0.0395626331304545,0.0384879738750089,0.0499600997955024,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
fair_concat_mlp,val,raw,macro_mce,0.1497740096979194,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
fair_concat_mlp,test,raw,macro_brier,0.0881121712022141,0.0831413996612554,0.0927190606175397,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
fair_concat_mlp,test,raw,macro_ece,0.0422864122315276,0.0384879738750089,0.0499600997955024,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
fair_concat_mlp,test,raw,macro_mce,0.1807973349769656,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
gated_fusion_mlp,val,raw,macro_brier,0.0843599046631419,0.0808298707129368,0.0903342758129393,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
gated_fusion_mlp,val,raw,macro_ece,0.0320303060071984,0.0327462071569274,0.043534895042288,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
gated_fusion_mlp,val,raw,macro_mce,0.1467155422396114,,,,Stage 9B supersedes Stage 9 skipped-temperature interpretation.
